name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@_GreatUnwashed	<a href="https://twitter.com/_GreatUnwashed" target="_blank">_GreatUnwashed</a>	21	4	0	19186	9991	69078	Cascadia	061
@_jordipahisa	<a href="https://twitter.com/_jordipahisa" target="_blank">_jordipahisa</a>	5	0	1	48	157	4572	Sant Cugat, Barcelona	001
@_Oscar_P_	<a href="https://twitter.com/_Oscar_P_" target="_blank">_Oscar_P_</a>	3	0	1	67	633	3344		003
@_paconicolas	<a href="https://twitter.com/_paconicolas" target="_blank">_paconicolas</a>	1	0	1	41	169	363		167
@_RMei_	<a href="https://twitter.com/_RMei_" target="_blank">_RMei_</a>	0	1	0					115
@_Solemusic	<a href="https://twitter.com/_Solemusic" target="_blank">_Solemusic</a>	1	0	1	212	103	1509	Caldes de Montbui	003
@_YolandaG	<a href="https://twitter.com/_YolandaG" target="_blank">_YolandaG</a>	1	0	1	34	72	702	Catalunya	003
@1_K4r0l_1	<a href="https://twitter.com/1_K4r0l_1" target="_blank">1_K4r0l_1</a>	12	0	1	70	379	1068	Barcelona, España	036
@101ECV_GADGET	<a href="https://twitter.com/101ECV_GADGET" target="_blank">101ECV_GADGET</a>	8	0	1	151	46	13716	Planet Earth, Solar System.	003
@10Fals	<a href="https://twitter.com/10Fals" target="_blank">10Fals</a>	4	0	1	46	115	5618	El Camp de l'Arpa	041
@1139dani	<a href="https://twitter.com/1139dani" target="_blank">1139dani</a>	15	0	1	311	718	8556	Parets del Valles,Catalunya	053
@13MCJ	<a href="https://twitter.com/13MCJ" target="_blank">13MCJ</a>	2	1	1	92	167	2331		090
@1714Drac1714	<a href="https://twitter.com/1714Drac1714" target="_blank">1714Drac1714</a>	21	0	2	516	288	52974	Catalunya.	019
@1714sasa	<a href="https://twitter.com/1714sasa" target="_blank">1714sasa</a>	2	0	1	264	542	1865	Gavà, BCN ,Catalunya	018
@1909_RSF	<a href="https://twitter.com/1909_RSF" target="_blank">1909_RSF</a>	2	1	0	787	872	5938	Euskal Herria Askatu!	195
