name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@_afonde	<a href="https://twitter.com/_afonde" target="_blank">_afonde</a>	1	0	1	89	269	193	Bcn	009
@_albertserra	<a href="https://twitter.com/_albertserra" target="_blank">_albertserra</a>	1	0	1	15	102	42	Caldes de Montbui, Catalunya	122
@_CameronMoy	<a href="https://twitter.com/_CameronMoy" target="_blank">_CameronMoy</a>	8	0	1	562	2392	7909	Glasgow, Scotland	178
@_DarwinPZ	<a href="https://twitter.com/_DarwinPZ" target="_blank">_DarwinPZ</a>	26	0	1	3958	298	126359	🇨🇴	002
@_Foraster_	<a href="https://twitter.com/_Foraster_" target="_blank">_Foraster_</a>	7	1	0	45	146	2204		012
@_lovemylive13	<a href="https://twitter.com/_lovemylive13" target="_blank">_lovemylive13</a>	2	0	1	14	136	408	Catalunya	003
@_Maria_Dantas_	<a href="https://twitter.com/_Maria_Dantas_" target="_blank">_Maria_Dantas_</a>	10	0	1	1695	2524	36048	Barcelona	021
@_MariaCliment	<a href="https://twitter.com/_MariaCliment" target="_blank">_MariaCliment</a>	1	0	1	1092	668	3176	Delta de l'Ebre - Barcelona	116
@_nissu_	<a href="https://twitter.com/_nissu_" target="_blank">_nissu_</a>	2	0	1	53	132	3544	Girona	106
@_RikenSproken_	<a href="https://twitter.com/_RikenSproken_" target="_blank">_RikenSproken_</a>	6	0	1	77	357	12839		012
@_smarta_	<a href="https://twitter.com/_smarta_" target="_blank">_smarta_</a>	4	0	1	167	308	2926	Barcelona, Catalunya	003
@000120o	<a href="https://twitter.com/000120o" target="_blank">000120o</a>	5	0	1	3654	511	719391	Italia-Roma	073
@1_jam2	<a href="https://twitter.com/1_jam2" target="_blank">1_jam2</a>	1	0	1	11	223	1781	Sant Pere de Ribes, España	131
@1714Talamanca	<a href="https://twitter.com/1714Talamanca" target="_blank">1714Talamanca</a>	6	0	1	128	239	1257	L'H de Llobregat-Terrassa	102
@1909_RSF	<a href="https://twitter.com/1909_RSF" target="_blank">1909_RSF</a>	2	0	1	787	872	5938	Euskal Herria Askatu!	016
@1960Jaume	<a href="https://twitter.com/1960Jaume" target="_blank">1960Jaume</a>	3	0	1	124	303	4480	Barcelona-Valencia	007
@1970Marta	<a href="https://twitter.com/1970Marta" target="_blank">1970Marta</a>	8	0	2	33	439	4704		060
@1972jotabe	<a href="https://twitter.com/1972jotabe" target="_blank">1972jotabe</a>	7	0	1	253	727	8310	Miravet	107
@1976Olvera1	<a href="https://twitter.com/1976Olvera1" target="_blank">1976Olvera1</a>	1	0	1	69	409	1484	Catalunya, Espanya	039
@1O_Sineu	<a href="https://twitter.com/1O_Sineu" target="_blank">1O_Sineu</a>	0	2	0					152
@1putuamu	<a href="https://twitter.com/1putuamu" target="_blank">1putuamu</a>	2	0	1	64	1194	2214		005
@1st_Rep_of_Cat	<a href="https://twitter.com/1st_Rep_of_Cat" target="_blank">1st_Rep_of_Cat</a>	5	0	1	162	564	2588		168
@228ari	<a href="https://twitter.com/228ari" target="_blank">228ari</a>	13	0	2	75	163	11219		004
@24Verdad	<a href="https://twitter.com/24Verdad" target="_blank">24Verdad</a>	1	0	1	424	314	6080	País Valencià	003
@32Behan	<a href="https://twitter.com/32Behan" target="_blank">32Behan</a>	17	0	1	426	618	16607	de vacances ovidianes	022
@3a_tsp	<a href="https://twitter.com/3a_tsp" target="_blank">3a_tsp</a>	13	0	2	412	546	48733	Barcelona, Catalunya	012
@3inaburxa	<a href="https://twitter.com/3inaburxa" target="_blank">3inaburxa</a>	1	0	1	138	323	1552		109
@3N4ICM4u41	<a href="https://twitter.com/3N4ICM4u41" target="_blank">3N4ICM4u41</a>	8	0	2	3462	3357	62845	Catalunya (Països Catalans)	004
@3peusalgat	<a href="https://twitter.com/3peusalgat" target="_blank">3peusalgat</a>	6	0	2	4840	5053	4645	Catalonia	027
@3Republicaviva	<a href="https://twitter.com/3Republicaviva" target="_blank">3Republicaviva</a>	11	0	1	2254	3813	57407		025
@3v43v4	<a href="https://twitter.com/3v43v4" target="_blank">3v43v4</a>	18	0	1	150	294	8892	Vilassar de Dalt, Catalunya	009
@4mesungats	<a href="https://twitter.com/4mesungats" target="_blank">4mesungats</a>	11	0	1	195	219	17693	Barcelona, Catalunya	009
@4rtur0_0	<a href="https://twitter.com/4rtur0_0" target="_blank">4rtur0_0</a>	2	0	1	693	241	1103	Viladecans, España	027
@4xsample	<a href="https://twitter.com/4xsample" target="_blank">4xsample</a>	0	2	0					096
@68MireiaXD	<a href="https://twitter.com/68MireiaXD" target="_blank">68MireiaXD</a>	4	0	1	118	516	2751		009
@6uN7CtZuCK66Rpd	<a href="https://twitter.com/6uN7CtZuCK66Rpd" target="_blank">6uN7CtZuCK66Rpd</a>	7	12	0	63	397	568		096
@77cesc	<a href="https://twitter.com/77cesc" target="_blank">77cesc</a>	4	0	1	48	489	2374		003
@7c64fdd968874ff	<a href="https://twitter.com/7c64fdd968874ff" target="_blank">7c64fdd968874ff</a>	6	0	1	1618	3109	22072		009
@7daigua	<a href="https://twitter.com/7daigua" target="_blank">7daigua</a>	11	0	1	75	316	2750		122
@7quintars	<a href="https://twitter.com/7quintars" target="_blank">7quintars</a>	2	0	1	27	217	462	Ελλάδα	012
@7reginal11	<a href="https://twitter.com/7reginal11" target="_blank">7reginal11</a>	4	0	1	165	465	21320	barcelona ||*||	012
@952b55bdb0b944d	<a href="https://twitter.com/952b55bdb0b944d" target="_blank">952b55bdb0b944d</a>	9	2	0	5	147	1042	Vila de Gracia, Barcelona	171
@9jrib9	<a href="https://twitter.com/9jrib9" target="_blank">9jrib9</a>	90	0	4	3402	3954	192205	Barcelona	084
@a_leixcg	<a href="https://twitter.com/a_leixcg" target="_blank">a_leixcg</a>	2	0	1	39	204	1382	Barcelona, Catalunya	009
@a_mnika	<a href="https://twitter.com/a_mnika" target="_blank">a_mnika</a>	3	0	1	33	60	3187	España	049
@A_S_e_r_r_a_n_o	<a href="https://twitter.com/A_S_e_r_r_a_n_o" target="_blank">A_S_e_r_r_a_n_o</a>	3	2	0	191	243	836	Castelldefels	015
@a9de8b44494d436	<a href="https://twitter.com/a9de8b44494d436" target="_blank">a9de8b44494d436</a>	14	0	1	57	34	6784		027
@aalbeert	<a href="https://twitter.com/aalbeert" target="_blank">aalbeert</a>	7	0	1	12906	5420	13969		009
@AAmposta	<a href="https://twitter.com/AAmposta" target="_blank">AAmposta</a>	2	0	1	1907	3012	67392	Spain	110
@abague60	<a href="https://twitter.com/abague60" target="_blank">abague60</a>	9	0	2	707	795	66728		048
@ABalagu	<a href="https://twitter.com/ABalagu" target="_blank">ABalagu</a>	17	32	2	4646	4899	101124		004
@abelardhjardi	<a href="https://twitter.com/abelardhjardi" target="_blank">abelardhjardi</a>	2	0	1	7926	2719	2190		027
@AbelloSanllehi	<a href="https://twitter.com/AbelloSanllehi" target="_blank">AbelloSanllehi</a>	33	0	7	987	1533	62523	Barcelona	009
@AbelPeraire	<a href="https://twitter.com/AbelPeraire" target="_blank">AbelPeraire</a>	8	1	0	638	186	4539		317
@abelplana	<a href="https://twitter.com/abelplana" target="_blank">abelplana</a>	3	1	0	254	463	1346		012
@abrahamperezn	<a href="https://twitter.com/abrahamperezn" target="_blank">abrahamperezn</a>	3	0	1	380	509	5056	Països Catalans	047
@acodina58	<a href="https://twitter.com/acodina58" target="_blank">acodina58</a>	10	0	2	88	58	11516		009
@acomajuncosas78	<a href="https://twitter.com/acomajuncosas78" target="_blank">acomajuncosas78</a>	0	1	0					311
