name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@_____ral____	<a href="https://twitter.com/_____ral____" target="_blank">_____ral____</a>	1	0	1	467	1322	12834	Austin, TX	212
@____javier_	<a href="https://twitter.com/____javier_" target="_blank">____javier_</a>	1	0	1	103	118	2666		006
@____olyy	<a href="https://twitter.com/____olyy" target="_blank">____olyy</a>	0	2	0					138
@___fixme	<a href="https://twitter.com/___fixme" target="_blank">___fixme</a>	1	0	1	738	133	24224	bienvenido a mi caos.	006
@__2046	<a href="https://twitter.com/__2046" target="_blank">__2046</a>	1	0	1	13	104	1174	Barcelona	004
@__Afd	<a href="https://twitter.com/__Afd" target="_blank">__Afd</a>	1	0	1	1267	1237	7941	Εδώ πέρα	459
@__albuuch__	<a href="https://twitter.com/__albuuch__" target="_blank">__albuuch__</a>	1	0	1	404	365	22470		006
@__Gonzalos__	<a href="https://twitter.com/__Gonzalos__" target="_blank">__Gonzalos__</a>	11	0	1	4349	5001	17809	Illes Balears	017
@__hikkikomori__	<a href="https://twitter.com/__hikkikomori__" target="_blank">__hikkikomori__</a>	1	0	1	103	344	6610		006
@__kamis__	<a href="https://twitter.com/__kamis__" target="_blank">__kamis__</a>	2	11	0	438	633	5571	127.0.0.1	007
@__laufdez	<a href="https://twitter.com/__laufdez" target="_blank">__laufdez</a>	1	0	1	942	348	97741	Pigfarts	006
@__MireMi	<a href="https://twitter.com/__MireMi" target="_blank">__MireMi</a>	3	1	0	432	417	12577	Reus-Barcelona, Catalunya	060
@__nunu21_	<a href="https://twitter.com/__nunu21_" target="_blank">__nunu21_</a>	1	0	1	104	96	237	Barcelona, España	007
@__pizzigata	<a href="https://twitter.com/__pizzigata" target="_blank">__pizzigata</a>	1	0	1	660	81	33710	Murcia.	006
@__Punished	<a href="https://twitter.com/__Punished" target="_blank">__Punished</a>	1	0	1	172	92	13355		006
@_666silvia	<a href="https://twitter.com/_666silvia" target="_blank">_666silvia</a>	2	0	1	3	5	21		190
@_aaxinho_	<a href="https://twitter.com/_aaxinho_" target="_blank">_aaxinho_</a>	1	0	1	292	330	13480	Málaga	006
@_abrrrril	<a href="https://twitter.com/_abrrrril" target="_blank">_abrrrril</a>	1	0	1	23	41	155		032
@_AdriGonzalez8	<a href="https://twitter.com/_AdriGonzalez8" target="_blank">_AdriGonzalez8</a>	1	0	1	436	209	15045	Cambados, Galicia	006
@_adxlaidx_	<a href="https://twitter.com/_adxlaidx_" target="_blank">_adxlaidx_</a>	1	0	1	311	244	30337	Heart's in Sydney.	006
@_AlbertParis	<a href="https://twitter.com/_AlbertParis" target="_blank">_AlbertParis</a>	2	0	1	813	620	13063	Entre Sants i Tarragona	213
@_Algerator_	<a href="https://twitter.com/_Algerator_" target="_blank">_Algerator_</a>	1	0	1	71	117	632	Barcelona	002
@_Aloma_	<a href="https://twitter.com/_Aloma_" target="_blank">_Aloma_</a>	0	1	0					753
@_AndrewDuval	<a href="https://twitter.com/_AndrewDuval" target="_blank">_AndrewDuval</a>	1	0	1	100	1014	835		240
@_AndyHemming	<a href="https://twitter.com/_AndyHemming" target="_blank">_AndyHemming</a>	1	0	1	271	963	9911		240
@_AnnaPetit_	<a href="https://twitter.com/_AnnaPetit_" target="_blank">_AnnaPetit_</a>	0	2	0					430
@_anpe_	<a href="https://twitter.com/_anpe_" target="_blank">_anpe_</a>	1	0	1	262	27	2704	Badalona	218
@_basta_ya	<a href="https://twitter.com/_basta_ya" target="_blank">_basta_ya</a>	1	3	0	56	349	2132		136
@_BATXURI_	<a href="https://twitter.com/_BATXURI_" target="_blank">_BATXURI_</a>	1	0	1	233	487	6830	Basque Country & World	1025
@_brendias	<a href="https://twitter.com/_brendias" target="_blank">_brendias</a>	1	0	1	783	272	32781	Brasil	207
@_Bsyko	<a href="https://twitter.com/_Bsyko" target="_blank">_Bsyko</a>	1	0	1	845	3303	1396		007
@_CARALLUDO	<a href="https://twitter.com/_CARALLUDO" target="_blank">_CARALLUDO</a>	4	51	0	249	385	6020	GZ	159
@_carolcosta_	<a href="https://twitter.com/_carolcosta_" target="_blank">_carolcosta_</a>	1	3	0	252	600	2766	Barcelona, España	091
@_catastrophx	<a href="https://twitter.com/_catastrophx" target="_blank">_catastrophx</a>	2	0	1	2018	1134	18258	bus verde	006
