name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@_AnaSnchez	<a href="https://twitter.com/_AnaSnchez" target="_blank">_AnaSnchez</a>	1	0	1	554	322	17399	HN∞	008
@_BarbaraVC	<a href="https://twitter.com/_BarbaraVC" target="_blank">_BarbaraVC</a>	2	0	1	97	226	1810	Barcelona	010
@_ccsllm	<a href="https://twitter.com/_ccsllm" target="_blank">_ccsllm</a>	1	0	1	97	63	7200	SCAD17	007
@_DarwinPZ	<a href="https://twitter.com/_DarwinPZ" target="_blank">_DarwinPZ</a>	26	1	0	3958	298	126359	🇨🇴	123
@_doktor8	<a href="https://twitter.com/_doktor8" target="_blank">_doktor8</a>	0	1	0					122
@_hiedravenenosa	<a href="https://twitter.com/_hiedravenenosa" target="_blank">_hiedravenenosa</a>	3	1	0	40	145	1812		023
@_Irenemazaira_	<a href="https://twitter.com/_Irenemazaira_" target="_blank">_Irenemazaira_</a>	9	0	1	5	42	51		008
@_isra23	<a href="https://twitter.com/_isra23" target="_blank">_isra23</a>	2	0	1	101	219	5121	Barcelona, Catalunya	040
@_MahonelsStar_	<a href="https://twitter.com/_MahonelsStar_" target="_blank">_MahonelsStar_</a>	1	0	1	59	472	7107	Made In Florida	007
@00lightwoodia	<a href="https://twitter.com/00lightwoodia" target="_blank">00lightwoodia</a>	1	0	1	325	1251	11234	Sitges	012
@0SOS_SavedUsAll	<a href="https://twitter.com/0SOS_SavedUsAll" target="_blank">0SOS_SavedUsAll</a>	1	0	1	60	72	7482	||Ruby||	007
@11jordi	<a href="https://twitter.com/11jordi" target="_blank">11jordi</a>	2	2	0	205	856	1034		005
@1Recluta_Patoso	<a href="https://twitter.com/1Recluta_Patoso" target="_blank">1Recluta_Patoso</a>	0	2	0					041
@2C6LEW6RLD2	<a href="https://twitter.com/2C6LEW6RLD2" target="_blank">2C6LEW6RLD2</a>	1	0	1	51	92	7126	Columbus	007
@4NOVACAIN3	<a href="https://twitter.com/4NOVACAIN3" target="_blank">4NOVACAIN3</a>	1	0	1	44	61	5286	BYSM! BATON ROUGE	007
@5nd_may_fight	<a href="https://twitter.com/5nd_may_fight" target="_blank">5nd_may_fight</a>	1	0	1	64	2292	1230	United States	007
@9davidgrau	<a href="https://twitter.com/9davidgrau" target="_blank">9davidgrau</a>	2	1	0	653	843	8626	CATALUNYA	098
@9patri14	<a href="https://twitter.com/9patri14" target="_blank">9patri14</a>	1	0	1	743	278	21549	Madrid-Sevilla	008
@a14j_merino	<a href="https://twitter.com/a14j_merino" target="_blank">a14j_merino</a>	1	0	1	513	196	16761	Mount Zion	008
@a7f2c30d3ef9454	<a href="https://twitter.com/a7f2c30d3ef9454" target="_blank">a7f2c30d3ef9454</a>	1	0	1	2	21	18		005
@abigailkendall7	<a href="https://twitter.com/abigailkendall7" target="_blank">abigailkendall7</a>	1	0	1	71	2268	1302	new jersey	007
@ABuckuliak	<a href="https://twitter.com/ABuckuliak" target="_blank">ABuckuliak</a>	1	0	1	376	168	79	Slovak Republic	037
@adaiasand	<a href="https://twitter.com/adaiasand" target="_blank">adaiasand</a>	1	0	1	3	32	41		114
@ADecroissance	<a href="https://twitter.com/ADecroissance" target="_blank">ADecroissance</a>	1	3	0	5905	1930	30780	local to global	022
@Adelita49455610	<a href="https://twitter.com/Adelita49455610" target="_blank">Adelita49455610</a>	17	0	1	164	89	33943		001
@adithloandella	<a href="https://twitter.com/adithloandella" target="_blank">adithloandella</a>	1	0	1	60	2277	1245		007
@AdolphO07	<a href="https://twitter.com/AdolphO07" target="_blank">AdolphO07</a>	1	0	1	712	800	40588	Manhattan, NY	070
@adrigs95	<a href="https://twitter.com/adrigs95" target="_blank">adrigs95</a>	1	0	1	94	101	203		017
@AFIMPAVE	<a href="https://twitter.com/AFIMPAVE" target="_blank">AFIMPAVE</a>	2	0	2	148	111	10753		049
@AidaGascon	<a href="https://twitter.com/AidaGascon" target="_blank">AidaGascon</a>	0	1	0					070
@Aitor_85_	<a href="https://twitter.com/Aitor_85_" target="_blank">Aitor_85_</a>	0	1	0					061
@AitziberSA	<a href="https://twitter.com/AitziberSA" target="_blank">AitziberSA</a>	1	1	0	455	368	2533	Brussels & Euskal Herria	004
@AizeneLemos	<a href="https://twitter.com/AizeneLemos" target="_blank">AizeneLemos</a>	4	0	1	564	693	27992	Entre las nubes de tu pelo.	002
