Source	Target
@_GreatUnwashed	@vashondogboy
@1909_RSF	@ibonleibar
@7akbatindautxu	@KarralDeustua
@aezkiaga	@pablangosto
@albert_dmcat	@jaumedui
@albert_dmcat	@miquelpuig95
@albertbatalla	@gibert_bernat
@albertbatalla	@jfierro25700
@albertbatalla	@QuimVT
@albertbatalla	@SirvCristina
@albertbatalla	@ulband75
@AlbertFBosch	@vicente_lluis
@AlbertLloreta	@andreubarnils
@AlbertLloreta	@CanoAbogado
@AlbertLloreta	@cristinasamped1
@AlbertLloreta	@Daniel_98_5_
@AlbertLloreta	@daranas_jordi
@AlbertLloreta	@estevecj
@AlbertLloreta	@JoelBernaus
@AlbertLloreta	@jspmrl
@AlbertLloreta	@lilianafortuny
@AlbertLloreta	@Meritxell_SA
@AlbertLloreta	@Tut_lingen
@AlexLedo7	@9Marcabdo
@alexsastre83	@CaterinaPerello
@AlfonsCarmona	@aquipuedo
@AlfonsCarmona	@blanc1707c
@AlfonsCarmona	@CapitaFesol
@AlfonsCarmona	@gemquim
@AlfonsCarmona	@padrepegifo
@AlfonsCarmona	@Quim_Sabate
@AlfonsCarmona	@RogerYoda
@AlfonsCarmona	@Xavi44896342
@am_georgina	@avinyes
@anbasala	@atis64
@anbasala	@nuriasaja
@ANC_BCN_SSG	@sergi_marin
@ANC_GRAMENET	@AbrahamAsensi
@anc_polska	@acadainstant
@anc_polska	@ANCEuskalHerria
@anc_polska	@CaminsJ
@anc_polska	@edulobezno
@anc_polska	@HadarAyxandri
@anc_polska	@joanmariapique
@anc_polska	@mbanus
@anc_polska	@peruchita1950
@anc_polska	@Sandro95948797
@anc_polska	@SiambNos
@ANC_USA	@AntonCros
@ANC_USA	@MrJosepL
@ANC_USA	@RTapiasCors
@ANCtorredembarr	@CUPTorre
@asentiscamprubi	@EliestelDelcel
@ateneucornella	@EzekielEscriban
@ateneucornella	@Merocu
@ateneucornella	@olga_de_leon
@Berlustinho	@lugarignoto
@bori_not	@joancasanovas27
@Boro_LH	@Xlourenzo
@CaminsJ	@strllmh
@cancapablanca	@Almusanchis
@Candeliano	@CarmeBuendia
@Candeliano	@CATestimo
@Candeliano	@DANNYWAVE75
@Candeliano	@Ii_iITLLCIi_iI
@Candeliano	@jacob_31
@Candeliano	@JuntsPelSi_Cat
@Candeliano	@MariaPoppins
@Candeliano	@Ouagadougu123
@Candeliano	@paysol49
@Candeliano	@rabiatifuscoler
@Candeliano	@XavierAntich
@carlesdomingo	@xavifillol
@CasalArreu	@Angeleugeni
@CasalArreu	@iyouwe007
@CasalEsparrec	@AJIEsparreguera
@catalana2017	@catalana2017
@CatalansForYes	@yoentwitty
