Source	Target
@_GreatUnwashed	@AcampadaMordaza
@_GreatUnwashed	@NoemiPAH
@_GreatUnwashed	@StopMordazas
@_GreatUnwashed	@xdemocradirecta
@_RMei_	@AlbaAssumpta
@13MCJ	@jberrar
@1909_RSF	@2torianatxo
@6uN7CtZuCK66Rpd	@elizabe95815732
@aaltafaj	@2005sjusi
@aaltafaj	@Alb_Puig
@aaltafaj	@annaalvado
@aaltafaj	@carbonetti2
@aaltafaj	@dels_llops
@aaltafaj	@Dolors63
@aaltafaj	@Dr_Esterichia
@aaltafaj	@Esbarzers
@aaltafaj	@freed4Catalonia
@aaltafaj	@fxcase
@aaltafaj	@independentcata
@aaltafaj	@izovi
@aaltafaj	@JoanBragulat
@aaltafaj	@jordi_bernalC
@aaltafaj	@JvilaplanaB
@aaltafaj	@MariaOxbow
@aaltafaj	@mireia_albiol
@aaltafaj	@montse40968594
@aaltafaj	@pedrogarciaflo3
@aaltafaj	@PereCastillo53
@aaltafaj	@peresalo68
@aaltafaj	@rcpuig94
@aaltafaj	@rosamari_rmmb
@aaltafaj	@rosayue
@aaltafaj	@santantonianc
@aaltafaj	@TotiTule
@aaltafaj	@totonqa
@aaltafaj	@unaltredelleida
@aaltafaj	@Wittgenstein_jm
@aaltafaj	@XavierBoschG
@aaltafaj	@xavinur
@aaltafaj	@xmes3
@ABalagu	@CrisJ1234
@ABalagu	@Dom70Bcn
@ABalagu	@dora_nicoletta
@ABalagu	@EugeniMas
@ABalagu	@euroeuropa
@ABalagu	@hannahbcn1
@ABalagu	@MnicaRebullCome
@ABalagu	@PileteJosefine
@ABalagu	@rosa_msust
@adosc	@juancaalvarezg
@adretuab	@consolrobles
@adretuab	@hisnamesbucky
@adretuab	@InfoCerdanyola
@adretuab	@SEPC_nacional
@adretuab	@tonigata96
@aezkiaga	@jovenmaori
@aidyl62	@Montserratesben
@Alba_garriga	@ErnestPinsap
@Alba_garriga	@OskarMeGo
@Alba_garriga	@Unitat9
@AlbaBalcells	@rogercm86
@AlbaMetge	@ERCMontmelo
@albertbatalla	@Alb_Puig
@albertbatalla	@anipeir
@albertbatalla	@EstorachOtilia
@albertbatalla	@GuiCoTwit
@albertbatalla	@jordisantacruz4
@albertbatalla	@lluisa_ng
@albertbatalla	@macagundeus
@albertbatalla	@magdalaveca
@albertbatalla	@MARTACRL
@albertbatalla	@miq167
@AlbertLloreta	@martafonollosa
@AlbertLloreta	@PepxSole
@AlbertLloreta	@pititinga
@aleix_miol	@Aniuska
@aleix_miol	@brotodex
@aleix_miol	@caltraginer
@aleix_miol	@ibaum6
@aleix_miol	@niskas
@aleix_miol	@rpagerols
@AleixMT	@RamonGasull
@AlexLedo7	@uje7
@AlexMontserrati	@shantytownbcn
@AlfonsCarmona	@xborras1900gma1
@alfonsrm	@alfonsrm
@alfonsrm	@giripower
@alfonsrm	@m_o_o_n_d_o
@alfonsrm	@NoemiPAH
@amicsdelalletja	@Iva_
@anbasala	@DjRepubliCAT
@anbasala	@EstorachOtilia
@anbasala	@hergrojor
@anbasala	@Iva_
@ANC_Bombers	@marramiauuuuuu
@ANC_Bombers	@smujal
@ANC_GRAMENET	@AitorCZ
@ANC_USA	@1714Drac1714
@ANCAltUrgell	@calreflex
@ANCAltUrgell	@florencicosb
@ANCFigueres	@tramuntana49
@angelsmcastells	@DavidCamps5
@angelsmcastells	@edllro1971
@angelsmcastells	@locuspolitikus
@angelsmcastells	@RebecaMoscote
@anticapiCat	@Andreueste
@anticapiCat	@rocderevolta
@anticapiCat	@SEzquerra
@Apostrof_coop	@comptesnosurten
@Apostrof_coop	@dada_ricart
@Apostrof_coop	@GrupEcos
@Apostrof_coop	@JGasen
@ArbatPau	@Lidia_Marquez72
@ArianaRoca	@brumoma
@arrelart	@Madonzilla
