name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@__Gonzalos__	<a href="https://twitter.com/__Gonzalos__" target="_blank">__Gonzalos__</a>	11	0	2	4349	5001	17809	Illes Balears	007
@__kamis__	<a href="https://twitter.com/__kamis__" target="_blank">__kamis__</a>	2	4	1	438	633	5571	127.0.0.1	053
@__khaleesi__23	<a href="https://twitter.com/__khaleesi__23" target="_blank">__khaleesi__23</a>	3	0	1	393	975	8613	Minas Tirith	006
@__luismi	<a href="https://twitter.com/__luismi" target="_blank">__luismi</a>	1	0	1	601	378	4321	Cádiz	245
@_7on1	<a href="https://twitter.com/_7on1" target="_blank">_7on1</a>	4	0	1	104	250	7295	Catalunya	163
@_Aukera	<a href="https://twitter.com/_Aukera" target="_blank">_Aukera</a>	3	0	1	484	677	21982	Aachen - Germany	336
@_avforts	<a href="https://twitter.com/_avforts" target="_blank">_avforts</a>	3	0	1	66	89	2404	Auckland City, New Zealand	028
@_CameronMoy	<a href="https://twitter.com/_CameronMoy" target="_blank">_CameronMoy</a>	8	0	3	562	2392	7909	Glasgow, Scotland	024
@_CARALLUDO	<a href="https://twitter.com/_CARALLUDO" target="_blank">_CARALLUDO</a>	4	0	1	249	385	6020	GZ	043
@_carles_gc	<a href="https://twitter.com/_carles_gc" target="_blank">_carles_gc</a>	1	0	1	27	28	394	Catalunya	028
@_ClaudiaMorato	<a href="https://twitter.com/_ClaudiaMorato" target="_blank">_ClaudiaMorato</a>	1	0	1	198	229	1414	Calella - Catalunya	630
@_doktor8	<a href="https://twitter.com/_doktor8" target="_blank">_doktor8</a>	0	2	0					356
@_Foraster_	<a href="https://twitter.com/_Foraster_" target="_blank">_Foraster_</a>	7	1	0	45	146	2204		730
@_immafp	<a href="https://twitter.com/_immafp" target="_blank">_immafp</a>	7	0	2	15972	10608	7565		161
@_jescobar_	<a href="https://twitter.com/_jescobar_" target="_blank">_jescobar_</a>	0	1	0					041
@_julia_m_r	<a href="https://twitter.com/_julia_m_r" target="_blank">_julia_m_r</a>	3	0	1	384	355	6548	el Fort Pienc, Barcelona	017
@_Manu_nunhez	<a href="https://twitter.com/_Manu_nunhez" target="_blank">_Manu_nunhez</a>	1	0	1	287	931	536		210
@_MiquelL_	<a href="https://twitter.com/_MiquelL_" target="_blank">_MiquelL_</a>	15	0	1	180	186	27359		652
@_MiracleDrug_	<a href="https://twitter.com/_MiracleDrug_" target="_blank">_MiracleDrug_</a>	3	0	1	204	362	10245	Palau	057
@_morerap	<a href="https://twitter.com/_morerap" target="_blank">_morerap</a>	1	1	1	349	148	869	Barcelona	732
@_MrMustard_	<a href="https://twitter.com/_MrMustard_" target="_blank">_MrMustard_</a>	4	0	1	1417	1470	17319		007
@_PereMendez	<a href="https://twitter.com/_PereMendez" target="_blank">_PereMendez</a>	0	2	0					007
@_RedTyneside	<a href="https://twitter.com/_RedTyneside" target="_blank">_RedTyneside</a>	7	0	1	3333	440	70907	Tyneside via Detroit	067
@_Rosamary_	<a href="https://twitter.com/_Rosamary_" target="_blank">_Rosamary_</a>	18	0	5	3374	3034	130740	Catalunya	019
@_suniac	<a href="https://twitter.com/_suniac" target="_blank">_suniac</a>	12	0	1	1054	680	42067	Montevideo	022
@09360affcb164dc	<a href="https://twitter.com/09360affcb164dc" target="_blank">09360affcb164dc</a>	4	0	1	327	1204	9490		031
@0Seuba	<a href="https://twitter.com/0Seuba" target="_blank">0Seuba</a>	31	0	2	664	1159	13762	Avià-Bcn, Catalunya	034
@10abril1968	<a href="https://twitter.com/10abril1968" target="_blank">10abril1968</a>	1	0	1	2144	1554	150854	Madrid, España	584
@10Fals	<a href="https://twitter.com/10Fals" target="_blank">10Fals</a>	4	0	1	46	115	5618	El Camp de l'Arpa	015
@1139dani	<a href="https://twitter.com/1139dani" target="_blank">1139dani</a>	15	0	3	311	718	8556	Parets del Valles,Catalunya	102
@1197434	<a href="https://twitter.com/1197434" target="_blank">1197434</a>	18	0	2	57	242	2434		013
@13__MARTINS	<a href="https://twitter.com/13__MARTINS" target="_blank">13__MARTINS</a>	1	0	1	242	442	13105	Riudarenes, girona	228
@13adamsa	<a href="https://twitter.com/13adamsa" target="_blank">13adamsa</a>	3	0	1	121	167	25433	CATALUNYA	268
@13aneta13	<a href="https://twitter.com/13aneta13" target="_blank">13aneta13</a>	1	0	1	675	2118	1675	Amposta	692
@15jba	<a href="https://twitter.com/15jba" target="_blank">15jba</a>	13	0	1	1097	2152	14894	Catalunya	072
@1714Drac1714	<a href="https://twitter.com/1714Drac1714" target="_blank">1714Drac1714</a>	21	0	1	516	288	52974	Catalunya.	007
@1909_RSF	<a href="https://twitter.com/1909_RSF" target="_blank">1909_RSF</a>	2	1	0	787	872	5938	Euskal Herria Askatu!	731
@1960Jaume	<a href="https://twitter.com/1960Jaume" target="_blank">1960Jaume</a>	3	0	1	124	303	4480	Barcelona-Valencia	198
@1978Yolanda	<a href="https://twitter.com/1978Yolanda" target="_blank">1978Yolanda</a>	2	0	1	69	695	1955	Catalunya	212
@1GKh	<a href="https://twitter.com/1GKh" target="_blank">1GKh</a>	2	0	1	4131	3569	177285	Moray, Scotland.	024
