name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@__LolaRiera	<a href="https://twitter.com/__LolaRiera" target="_blank">__LolaRiera</a>	1	0	1	25	58	220	.Bor	035
@_Alafuga	<a href="https://twitter.com/_Alafuga" target="_blank">_Alafuga</a>	0	8	0					283
@_albacasals	<a href="https://twitter.com/_albacasals" target="_blank">_albacasals</a>	1	0	1	13	79	331		027
@_AlvaroZS_	<a href="https://twitter.com/_AlvaroZS_" target="_blank">_AlvaroZS_</a>	1	0	1	469	923	34692		243
@_Angel_Alonso_	<a href="https://twitter.com/_Angel_Alonso_" target="_blank">_Angel_Alonso_</a>	1	0	1	101	130	4011		380
@_arcosyflechas	<a href="https://twitter.com/_arcosyflechas" target="_blank">_arcosyflechas</a>	1	0	1	306	326	4105	Tarragona, Cataluña	024
@_BarbaraVC	<a href="https://twitter.com/_BarbaraVC" target="_blank">_BarbaraVC</a>	2	2	0	97	226	1810	Barcelona	076
@_corbo	<a href="https://twitter.com/_corbo" target="_blank">_corbo</a>	11	0	1	125	253	6040	Catalunya	035
@_Dani_AR	<a href="https://twitter.com/_Dani_AR" target="_blank">_Dani_AR</a>	1	0	1	55	370	40	London	336
@_doris_casas	<a href="https://twitter.com/_doris_casas" target="_blank">_doris_casas</a>	4	0	1	34	218	9178		027
@_GreatUnwashed	<a href="https://twitter.com/_GreatUnwashed" target="_blank">_GreatUnwashed</a>	21	0	1	19186	9991	69078	Cascadia	477
@_joan_cat	<a href="https://twitter.com/_joan_cat" target="_blank">_joan_cat</a>	0	1	0					493
@_marcalme	<a href="https://twitter.com/_marcalme" target="_blank">_marcalme</a>	2	0	1	120	726	7735		002
@_Maria_Dantas_	<a href="https://twitter.com/_Maria_Dantas_" target="_blank">_Maria_Dantas_</a>	10	0	1	1695	2524	36048	Barcelona	215
@_MarioSoria_	<a href="https://twitter.com/_MarioSoria_" target="_blank">_MarioSoria_</a>	2	0	1	137	207	605	Terrassa, España	235
@_Marta_1982	<a href="https://twitter.com/_Marta_1982" target="_blank">_Marta_1982</a>	1	0	1	16	143	60		293
@_MiracleDrug_	<a href="https://twitter.com/_MiracleDrug_" target="_blank">_MiracleDrug_</a>	3	0	1	204	362	10245	Palau	638
@_mitsukisoul	<a href="https://twitter.com/_mitsukisoul" target="_blank">_mitsukisoul</a>	2	0	1	838	381	48076	BCN	141
@_morerap	<a href="https://twitter.com/_morerap" target="_blank">_morerap</a>	1	1	0	349	148	869	Barcelona	465
@_nuriamon	<a href="https://twitter.com/_nuriamon" target="_blank">_nuriamon</a>	1	1	0	6	28	24		449
@_Oscar_P_	<a href="https://twitter.com/_Oscar_P_" target="_blank">_Oscar_P_</a>	3	0	1	67	633	3344		131
@_paopaolis	<a href="https://twitter.com/_paopaolis" target="_blank">_paopaolis</a>	0	5	0					318
@_pmarkes	<a href="https://twitter.com/_pmarkes" target="_blank">_pmarkes</a>	1	1	0	19006	20630	8381	Terrassa (Barcelona)	554
@_psike	<a href="https://twitter.com/_psike" target="_blank">_psike</a>	0	1	0					530
@06_bayer	<a href="https://twitter.com/06_bayer" target="_blank">06_bayer</a>	3	0	1	155	246	4343		048
@0IrTE	<a href="https://twitter.com/0IrTE" target="_blank">0IrTE</a>	9	0	3	148	60	20546	Catalunya	152
@0ltremare	<a href="https://twitter.com/0ltremare" target="_blank">0ltremare</a>	3	0	1	335	341	33347	Volem ser lliures	141
@0Marc0ES	<a href="https://twitter.com/0Marc0ES" target="_blank">0Marc0ES</a>	2	0	1	889	749	13698	La maleta de Newt Scamander	052
@0Seuba	<a href="https://twitter.com/0Seuba" target="_blank">0Seuba</a>	31	0	1	664	1159	13762	Avià-Bcn, Catalunya	419
@1_K4r0l_1	<a href="https://twitter.com/1_K4r0l_1" target="_blank">1_K4r0l_1</a>	12	0	1	70	379	1068	Barcelona, España	002
@1_pedrodeltoro	<a href="https://twitter.com/1_pedrodeltoro" target="_blank">1_pedrodeltoro</a>	1	0	1	225	161	40449	Media Legua, Madrid	539
@101ECV_GADGET	<a href="https://twitter.com/101ECV_GADGET" target="_blank">101ECV_GADGET</a>	8	0	2	151	46	13716	Planet Earth, Solar System.	051
@10cfont	<a href="https://twitter.com/10cfont" target="_blank">10cfont</a>	2	0	1	118	186	795	Catalunya	027
@10chumanga	<a href="https://twitter.com/10chumanga" target="_blank">10chumanga</a>	1	0	1	30	112	665		076
@111lourdes	<a href="https://twitter.com/111lourdes" target="_blank">111lourdes</a>	6	0	1	13	47	1212		251
@113LUCAS	<a href="https://twitter.com/113LUCAS" target="_blank">113LUCAS</a>	5	0	1	39	108	1303		589
@11setVCat	<a href="https://twitter.com/11setVCat" target="_blank">11setVCat</a>	1	0	1	6	3	744		048
@1304vimahu	<a href="https://twitter.com/1304vimahu" target="_blank">1304vimahu</a>	5	0	2	76	406	4485	Catalunya ||*||	027
@13magan13	<a href="https://twitter.com/13magan13" target="_blank">13magan13</a>	1	0	1	491	566	29200	Tresjuncos - Madrid	258
@15M2_0	<a href="https://twitter.com/15M2_0" target="_blank">15M2_0</a>	3	0	1	869	1326	13286	España	232
@15mariona15	<a href="https://twitter.com/15mariona15" target="_blank">15mariona15</a>	1	0	1	75	678	3246	Barcelona- Baix Ebre	048
@15MBcn_int	<a href="https://twitter.com/15MBcn_int" target="_blank">15MBcn_int</a>	1	0	1	16224	717	50629	Barcelona	658
@1603ip	<a href="https://twitter.com/1603ip" target="_blank">1603ip</a>	4	0	1	8	142	1222		338
@1714Drac1714	<a href="https://twitter.com/1714Drac1714" target="_blank">1714Drac1714</a>	21	0	2	516	288	52974	Catalunya.	192
@196193Jose	<a href="https://twitter.com/196193Jose" target="_blank">196193Jose</a>	1	0	1	1359	1346	77587	ALCOI (ALACANT)	048
@1970Marta	<a href="https://twitter.com/1970Marta" target="_blank">1970Marta</a>	8	0	1	33	439	4704		027
@1977Jrf	<a href="https://twitter.com/1977Jrf" target="_blank">1977Jrf</a>	3	0	1	1548	2821	15471	Barberà del Vallès, Catalunya	007
@1978Yolanda	<a href="https://twitter.com/1978Yolanda" target="_blank">1978Yolanda</a>	2	0	1	69	695	1955	Catalunya	028
@19aaamsss85	<a href="https://twitter.com/19aaamsss85" target="_blank">19aaamsss85</a>	2	0	1	136	562	933	Irlanda	048
@1denmadrid	<a href="https://twitter.com/1denmadrid" target="_blank">1denmadrid</a>	20	0	1	1540	276	394105	Madrid, Colombia	662
@1O_App	<a href="https://twitter.com/1O_App" target="_blank">1O_App</a>	1	1	0	1113	93	204		494
@20g32	<a href="https://twitter.com/20g32" target="_blank">20g32</a>	7	0	1	645	493	19839	Entre Gràcia i Sant Andreu	006
@2211Mes	<a href="https://twitter.com/2211Mes" target="_blank">2211Mes</a>	4	0	1	49	156	4780	Barcelona	027
@27_antu	<a href="https://twitter.com/27_antu" target="_blank">27_antu</a>	4	1	0	23	112	2286	Polònia	476
@2ificat	<a href="https://twitter.com/2ificat" target="_blank">2ificat</a>	1	0	1	184	1308	4914	Everywhere	027
@321BCN	<a href="https://twitter.com/321BCN" target="_blank">321BCN</a>	36	0	3	53	174	2356		152
@32Behan	<a href="https://twitter.com/32Behan" target="_blank">32Behan</a>	17	0	1	426	618	16607	de vacances ovidianes	242
@3aefc4faa5eb424	<a href="https://twitter.com/3aefc4faa5eb424" target="_blank">3aefc4faa5eb424</a>	1	0	1	3	21	1		039
@3josep14	<a href="https://twitter.com/3josep14" target="_blank">3josep14</a>	1	5	0	823	1094	8184	Catalunya ||*|| 🗳️	060
@3v43v4	<a href="https://twitter.com/3v43v4" target="_blank">3v43v4</a>	18	0	2	150	294	8892	Vilassar de Dalt, Catalunya	070
@4_ferran	<a href="https://twitter.com/4_ferran" target="_blank">4_ferran</a>	10	0	4	193	283	5146		027
@434didi	<a href="https://twitter.com/434didi" target="_blank">434didi</a>	5	0	1	621	760	91190		248
@45c32378c34f499	<a href="https://twitter.com/45c32378c34f499" target="_blank">45c32378c34f499</a>	22	0	1	540	629	80217		048
@4kirvin4	<a href="https://twitter.com/4kirvin4" target="_blank">4kirvin4</a>	1	0	1	28	118	593		141
@4mesungats	<a href="https://twitter.com/4mesungats" target="_blank">4mesungats</a>	11	0	2	195	219	17693	Barcelona, Catalunya	152
@57Kary	<a href="https://twitter.com/57Kary" target="_blank">57Kary</a>	1	0	1	50	101	465	Rubi	551
@58Cramos	<a href="https://twitter.com/58Cramos" target="_blank">58Cramos</a>	4	0	1	217	362	14903		152
@622Arquitectura	<a href="https://twitter.com/622Arquitectura" target="_blank">622Arquitectura</a>	6	0	1	1071	1890	6884	Terrassa. Barcelona. Catalonia	048
@67_josep	<a href="https://twitter.com/67_josep" target="_blank">67_josep</a>	5	0	1	123	234	15856	Santpedor	548
@675_08	<a href="https://twitter.com/675_08" target="_blank">675_08</a>	7	0	2	186	66	52301		027
@6q95	<a href="https://twitter.com/6q95" target="_blank">6q95</a>	2	0	1	161	627	1304	Vilanova i la Geltrú	168
@70diazcat	<a href="https://twitter.com/70diazcat" target="_blank">70diazcat</a>	15	0	1	82	239	7375		002
@71a578290218475	<a href="https://twitter.com/71a578290218475" target="_blank">71a578290218475</a>	1	0	1	26	28	2546		251
@71annam	<a href="https://twitter.com/71annam" target="_blank">71annam</a>	1	0	1	4	13	74		018
@8494rvc	<a href="https://twitter.com/8494rvc" target="_blank">8494rvc</a>	1	0	1	312	356	19669		002
@8passenger	<a href="https://twitter.com/8passenger" target="_blank">8passenger</a>	7	0	1	341	556	28907	Berlin	118
@8rosaespinosa	<a href="https://twitter.com/8rosaespinosa" target="_blank">8rosaespinosa</a>	4	0	2	426	873	11009		002
@952b55bdb0b944d	<a href="https://twitter.com/952b55bdb0b944d" target="_blank">952b55bdb0b944d</a>	9	0	2	5	147	1042	Vila de Gracia, Barcelona	241
@9colormanel	<a href="https://twitter.com/9colormanel" target="_blank">9colormanel</a>	9	0	2	88	366	5258	Sitges, España	113
@9jrib9	<a href="https://twitter.com/9jrib9" target="_blank">9jrib9</a>	90	0	4	3402	3954	192205	Barcelona	003
@A_Rocafort	<a href="https://twitter.com/A_Rocafort" target="_blank">A_Rocafort</a>	2	0	1	283	439	3179		027
@a_sunyer	<a href="https://twitter.com/a_sunyer" target="_blank">a_sunyer</a>	4	0	2	83	419	653	Girona	027
@A3Noticias	<a href="https://twitter.com/A3Noticias" target="_blank">A3Noticias</a>	0	33	0					258
@AAixas	<a href="https://twitter.com/AAixas" target="_blank">AAixas</a>	2	0	1	3	39	685		049
@AAixurach	<a href="https://twitter.com/AAixurach" target="_blank">AAixurach</a>	16	0	4	2357	4990	62401	Via Lactia	152
@aaltafaj	<a href="https://twitter.com/aaltafaj" target="_blank">aaltafaj</a>	3	2	1	17243	1430	20888	Brussels & BCN	271
@aandueza_	<a href="https://twitter.com/aandueza_" target="_blank">aandueza_</a>	3	0	1	131	110	1987	Pamplona	141
