name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@AgataBuxade	<a href="https://twitter.com/AgataBuxade" target="_blank">AgataBuxade</a>	5	0	1	173	517	9667	Barcelona	001
@Agents_Rurals	<a href="https://twitter.com/Agents_Rurals" target="_blank">Agents_Rurals</a>	1	42	0	21855	901	16707	.cat	008
@agimeneznavarro	<a href="https://twitter.com/agimeneznavarro" target="_blank">agimeneznavarro</a>	2	0	1	681	2328	13861	Barcelona	001
@agontan	<a href="https://twitter.com/agontan" target="_blank">agontan</a>	1	0	1	516	376	3243		019
@AGR_Network	<a href="https://twitter.com/AGR_Network" target="_blank">AGR_Network</a>	17	0	1	1016	2050	33236	Україна	024
@agrau22	<a href="https://twitter.com/agrau22" target="_blank">agrau22</a>	1	0	1	109	144	387	Vic	071
@agus_tiniko	<a href="https://twitter.com/agus_tiniko" target="_blank">agus_tiniko</a>	4	0	1	42	210	2290	Badalona, España	001
@agusti_cc	<a href="https://twitter.com/agusti_cc" target="_blank">agusti_cc</a>	2	0	1	9	110	831	aqui	001
@ahernandez094	<a href="https://twitter.com/ahernandez094" target="_blank">ahernandez094</a>	9	0	1	137	109	38968	Cerdanyola del Vallès	019
@aiatsagusti	<a href="https://twitter.com/aiatsagusti" target="_blank">aiatsagusti</a>	1	0	1	630	1087	4390		226
@aiguaifang	<a href="https://twitter.com/aiguaifang" target="_blank">aiguaifang</a>	5	0	2	1512	793	36542		046
@AirForceJoan	<a href="https://twitter.com/AirForceJoan" target="_blank">AirForceJoan</a>	1	1	1	753	529	42115	PPCC	139
@AitorTelle13	<a href="https://twitter.com/AitorTelle13" target="_blank">AitorTelle13</a>	6	0	1	402	1494	802	Deba,Gipuzkoa,Nabarra(7ak 1)	093
@ajaume	<a href="https://twitter.com/ajaume" target="_blank">ajaume</a>	11	0	1	1466	628	60925	barcelona	071
@Akratamondo	<a href="https://twitter.com/Akratamondo" target="_blank">Akratamondo</a>	1	0	1	668	1112	31942	Barcelona	070
@Alaillaj	<a href="https://twitter.com/Alaillaj" target="_blank">Alaillaj</a>	11	0	2	849	1283	17315	Barcelona, Catalunya	023
@Alb_Puig	<a href="https://twitter.com/Alb_Puig" target="_blank">Alb_Puig</a>	12	0	1	333	1013	11436	Montornès del Vallès	071
@Alba_87_	<a href="https://twitter.com/Alba_87_" target="_blank">Alba_87_</a>	0	3	0					021
@AlbaMalagelada	<a href="https://twitter.com/AlbaMalagelada" target="_blank">AlbaMalagelada</a>	2	0	1	77	116	1885	Sant Feliu de Guíxols	006
@albapmas	<a href="https://twitter.com/albapmas" target="_blank">albapmas</a>	2	0	1	339	1351	6544		009
@albaverges	<a href="https://twitter.com/albaverges" target="_blank">albaverges</a>	9	0	1	5610	2310	21267	Igualada(Barcelona)CATALUNYA	006
@AlberdiIbarra	<a href="https://twitter.com/AlberdiIbarra" target="_blank">AlberdiIbarra</a>	15	0	1	195	243	16941		224
@Albert_44062	<a href="https://twitter.com/Albert_44062" target="_blank">Albert_44062</a>	22	0	1	48	173	3404	Sabadell, Espanya	070
@albert_p_xaus	<a href="https://twitter.com/albert_p_xaus" target="_blank">albert_p_xaus</a>	3	0	1	235	550	806	castelldefels, barcelona	001
@Albert_Pijuan	<a href="https://twitter.com/Albert_Pijuan" target="_blank">Albert_Pijuan</a>	4	0	1	178	208	4437	som-hi	007
@albertAEPDA	<a href="https://twitter.com/albertAEPDA" target="_blank">albertAEPDA</a>	11	0	2	1193	1006	73252		001
@albertdiaz_fer	<a href="https://twitter.com/albertdiaz_fer" target="_blank">albertdiaz_fer</a>	3	0	1	498	1178	1280	Barcelona	001
@AlbertFBT	<a href="https://twitter.com/AlbertFBT" target="_blank">AlbertFBT</a>	4	0	1	243	544	6387		001
@AlbertFerrerR	<a href="https://twitter.com/AlbertFerrerR" target="_blank">AlbertFerrerR</a>	1	0	1	67	376	1974	Barcelona, Cataluña	006
@albertguista	<a href="https://twitter.com/albertguista" target="_blank">albertguista</a>	2	0	1	83	179	880	Catalunya	025
@AlbertJaimeC	<a href="https://twitter.com/AlbertJaimeC" target="_blank">AlbertJaimeC</a>	3	0	1	597	800	31964	Barcelona	001
@AlbertLluc	<a href="https://twitter.com/AlbertLluc" target="_blank">AlbertLluc</a>	18	0	1	374	548	20235		081
@albertlluchtw	<a href="https://twitter.com/albertlluchtw" target="_blank">albertlluchtw</a>	10	0	1	640	859	53460	St Cugat del Vallès /Cat/ EU	001
@AlbertMajo7	<a href="https://twitter.com/AlbertMajo7" target="_blank">AlbertMajo7</a>	16	0	1	52	233	4172	Sabadell Catalunya	001
@albertplana	<a href="https://twitter.com/albertplana" target="_blank">albertplana</a>	3	0	1	496	489	8242	Catalan Republic *X	139
@AlbertPoch	<a href="https://twitter.com/AlbertPoch" target="_blank">AlbertPoch</a>	1	0	1	507	829	3761	VERGES	095
@albertprimo2	<a href="https://twitter.com/albertprimo2" target="_blank">albertprimo2</a>	1	0	1	50	326	1372	disseny d'interiors	001
@Albertpunkcela	<a href="https://twitter.com/Albertpunkcela" target="_blank">Albertpunkcela</a>	3	0	1	541	1016	18487	Valladolid - Madrid	085
@AlberttGracia	<a href="https://twitter.com/AlberttGracia" target="_blank">AlberttGracia</a>	7	0	1	442	867	19536		001
@AlbertVenturaP	<a href="https://twitter.com/AlbertVenturaP" target="_blank">AlbertVenturaP</a>	2	0	1	502	705	3213	Tarragona, Països Catalans	089
@AlbertVs73	<a href="https://twitter.com/AlbertVs73" target="_blank">AlbertVs73</a>	3	0	1	667	796	1640	República Catalana	001
@Aldartetsu	<a href="https://twitter.com/Aldartetsu" target="_blank">Aldartetsu</a>	4	0	2	845	264	87396	Bizkaia(EH), Málaga(Esp) y Deu	001
@AleFRaurell	<a href="https://twitter.com/AleFRaurell" target="_blank">AleFRaurell</a>	4	0	1	87	170	762		001
@aleix_amm	<a href="https://twitter.com/aleix_amm" target="_blank">aleix_amm</a>	0	1	0					212
@aleixmm97	<a href="https://twitter.com/aleixmm97" target="_blank">aleixmm97</a>	5	0	1	404	497	19025		010
@AleixPuiggros	<a href="https://twitter.com/AleixPuiggros" target="_blank">AleixPuiggros</a>	3	0	1	53	42	5585		009
@Alejand63567115	<a href="https://twitter.com/Alejand63567115" target="_blank">Alejand63567115</a>	20	0	1	47	34	8112		071
@alellacup	<a href="https://twitter.com/alellacup" target="_blank">alellacup</a>	0	1	0					210
@AlemanyManel	<a href="https://twitter.com/AlemanyManel" target="_blank">AlemanyManel</a>	28	0	1	278	858	30498	Sant Cugat Vallès, Catalunya	079
@Alex_Mullor	<a href="https://twitter.com/Alex_Mullor" target="_blank">Alex_Mullor</a>	3	0	1	42	379	3250		001
@alexandrecamps	<a href="https://twitter.com/alexandrecamps" target="_blank">alexandrecamps</a>	27	0	1	411	937	8968	Sant Cugat del Vallès	071
@alexdelmas10	<a href="https://twitter.com/alexdelmas10" target="_blank">alexdelmas10</a>	0	1	0					209
@AlexisFs96	<a href="https://twitter.com/AlexisFs96" target="_blank">AlexisFs96</a>	1	0	1	215	196	9247	Alexis_fernandez96	080
@AlfdeVe	<a href="https://twitter.com/AlfdeVe" target="_blank">AlfdeVe</a>	0	1	0					205
@alicia_busquets	<a href="https://twitter.com/alicia_busquets" target="_blank">alicia_busquets</a>	1	0	1	51	141	454	Barcelona, España	087
@ALICIABARBA7	<a href="https://twitter.com/ALICIABARBA7" target="_blank">ALICIABARBA7</a>	2	0	1	34	160	5958		100
@aliciapag	<a href="https://twitter.com/aliciapag" target="_blank">aliciapag</a>	1	0	1	34	278	358	catalunya	047
@aligatrencada	<a href="https://twitter.com/aligatrencada" target="_blank">aligatrencada</a>	8	0	1	64	247	11925		013
@Alius_ka	<a href="https://twitter.com/Alius_ka" target="_blank">Alius_ka</a>	2	1	0	508	1322	1870	Vallirana, Catalunya	203
@allmhurach11	<a href="https://twitter.com/allmhurach11" target="_blank">allmhurach11</a>	2	0	1	207	289	21066	Alba/Escocia	014
@almallmar	<a href="https://twitter.com/almallmar" target="_blank">almallmar</a>	24	0	2	54	81	13111	Catalunya	001
@Almogaverperico	<a href="https://twitter.com/Almogaverperico" target="_blank">Almogaverperico</a>	2	0	1	180	121	6344	Catalunya	007
@almussutxus	<a href="https://twitter.com/almussutxus" target="_blank">almussutxus</a>	1	0	1	125	156	1702	Bilbao	088
@alomar_planas3	<a href="https://twitter.com/alomar_planas3" target="_blank">alomar_planas3</a>	15	0	1	81	277	6100	Mallorca	072
@Alpeich	<a href="https://twitter.com/Alpeich" target="_blank">Alpeich</a>	9	0	1	90	94	1440		071
@alteos98	<a href="https://twitter.com/alteos98" target="_blank">alteos98</a>	5	0	1	581	855	8784	日本 東京	194
@alxmurCAT	<a href="https://twitter.com/alxmurCAT" target="_blank">alxmurCAT</a>	7	0	1	1096	2081	14340	Moià, Espanya	061
@am_hueto	<a href="https://twitter.com/am_hueto" target="_blank">am_hueto</a>	3	0	1	33	180	1251	Cervelló (BCN), Catalunya	001
@amapola231	<a href="https://twitter.com/amapola231" target="_blank">amapola231</a>	5	0	1	64	405	1764		072
@amicdetots	<a href="https://twitter.com/amicdetots" target="_blank">amicdetots</a>	8	0	1	4968	2848	95552	(Catalunya)	026
@Amidala666	<a href="https://twitter.com/Amidala666" target="_blank">Amidala666</a>	3	1	0	43	63	3093		202
@amirabal10	<a href="https://twitter.com/amirabal10" target="_blank">amirabal10</a>	2	1	0	356	1125	2040	Reus, Catalunya	200
@amonra49	<a href="https://twitter.com/amonra49" target="_blank">amonra49</a>	3	0	1	816	1810	25571	Barcelona	249
@AmorosSerra	<a href="https://twitter.com/AmorosSerra" target="_blank">AmorosSerra</a>	0	1	0					197
@ampordanes	<a href="https://twitter.com/ampordanes" target="_blank">ampordanes</a>	13	0	1	74	75	16620		072
@Ana3Marquez	<a href="https://twitter.com/Ana3Marquez" target="_blank">Ana3Marquez</a>	1	0	1	170	299	9585	Barcelona	072
@anaraljaan	<a href="https://twitter.com/anaraljaan" target="_blank">anaraljaan</a>	16	0	2	6333	6101	121478	Bellpuig Catalunya Europa	020
@AnaRuizJurado1	<a href="https://twitter.com/AnaRuizJurado1" target="_blank">AnaRuizJurado1</a>	1	0	1	1902	1657	80599	Barcelona, España	011
@ANC_Bombers	<a href="https://twitter.com/ANC_Bombers" target="_blank">ANC_Bombers</a>	4	8	0	13931	6149	7063	Països Catalans	067
@ANC_Israel	<a href="https://twitter.com/ANC_Israel" target="_blank">ANC_Israel</a>	4	0	1	1553	116	3878	Israel	071
@ANC_Manlleu	<a href="https://twitter.com/ANC_Manlleu" target="_blank">ANC_Manlleu</a>	0	2	0					124
@ANCCiutatVella	<a href="https://twitter.com/ANCCiutatVella" target="_blank">ANCCiutatVella</a>	13	0	1	1758	1141	23120	Barcelona	016
@ANCDones	<a href="https://twitter.com/ANCDones" target="_blank">ANCDones</a>	2	1	0	1626	1166	2774	República de Catalunya PPCC	178
@ANCFortPienc	<a href="https://twitter.com/ANCFortPienc" target="_blank">ANCFortPienc</a>	0	7	0					059
@anclescala	<a href="https://twitter.com/anclescala" target="_blank">anclescala</a>	0	2	0					123
@ANCLHospitalet	<a href="https://twitter.com/ANCLHospitalet" target="_blank">ANCLHospitalet</a>	16	0	1	6267	3756	46531	hospitalet-ll@assemblea.cat	011
@ANCNouBarris	<a href="https://twitter.com/ANCNouBarris" target="_blank">ANCNouBarris</a>	9	1	0	1846	1114	8548	Barcelona. Països Catalans	148
@ancpremiademar	<a href="https://twitter.com/ancpremiademar" target="_blank">ancpremiademar</a>	7	0	1	1583	222	3598	Premià de Mar-Països Catalans-	016
@ANCsant_cugat	<a href="https://twitter.com/ANCsant_cugat" target="_blank">ANCsant_cugat</a>	7	0	1	2875	3794	8697	Sant Cugat (Catalunya)	169
@ancSuisse	<a href="https://twitter.com/ancSuisse" target="_blank">ancSuisse</a>	12	0	2	1930	407	9592	Suisse - Suïssa - Switzerland	001
@ancSvizzera	<a href="https://twitter.com/ancSvizzera" target="_blank">ancSvizzera</a>	1	0	1	1310	271	3824	Ticino	111
@anderguinver	<a href="https://twitter.com/anderguinver" target="_blank">anderguinver</a>	1	0	1	123	319	2190	Mataró	245
@andermgt	<a href="https://twitter.com/andermgt" target="_blank">andermgt</a>	10	0	1	296	508	13306	Etxarri Aranatz, EH	086
@anderrezo23	<a href="https://twitter.com/anderrezo23" target="_blank">anderrezo23</a>	1	0	1	77	1008	446	San Sebastián, España	120
@AndoniOtx	<a href="https://twitter.com/AndoniOtx" target="_blank">AndoniOtx</a>	5	0	1	157	954	3227		088
@Andreacondeb_	<a href="https://twitter.com/Andreacondeb_" target="_blank">Andreacondeb_</a>	1	0	1	439	227	54999	Ciudad del Betis	080
@AndreaLissidini	<a href="https://twitter.com/AndreaLissidini" target="_blank">AndreaLissidini</a>	1	0	1	711	1120	9625		012
@andreucordon	<a href="https://twitter.com/andreucordon" target="_blank">andreucordon</a>	1	0	1	50	26	220		012
@andreugiralt	<a href="https://twitter.com/andreugiralt" target="_blank">andreugiralt</a>	1	0	1	382	792	1023	Sabadell, per si cal dir-ho.	094
@andreusarra	<a href="https://twitter.com/andreusarra" target="_blank">andreusarra</a>	2	0	1	169	353	1127	Font-Romeu, Països Catalans	089
@angelaECMataro	<a href="https://twitter.com/angelaECMataro" target="_blank">angelaECMataro</a>	2	0	1	34	251	628		101
@angelagubern	<a href="https://twitter.com/angelagubern" target="_blank">angelagubern</a>	1	0	1	42	353	738	feliç	066
@angelfontcatal1	<a href="https://twitter.com/angelfontcatal1" target="_blank">angelfontcatal1</a>	5	0	1	1011	1153	17047		019
@angelsclotet	<a href="https://twitter.com/angelsclotet" target="_blank">angelsclotet</a>	19	0	1	970	790	65574		001
@angelsmarc2	<a href="https://twitter.com/angelsmarc2" target="_blank">angelsmarc2</a>	15	0	1	34	139	2526		044
@angelsmcastells	<a href="https://twitter.com/angelsmcastells" target="_blank">angelsmcastells</a>	11	34	0	11276	2250	70786	Barcelona	009
@angelsponsa	<a href="https://twitter.com/angelsponsa" target="_blank">angelsponsa</a>	3	1	0	2546	2028	11555	Sant Cugat del Vallès	015
@angelssmh	<a href="https://twitter.com/angelssmh" target="_blank">angelssmh</a>	8	0	1	46	139	2667	República Catalana	001
@angelstomasgonz	<a href="https://twitter.com/angelstomasgonz" target="_blank">angelstomasgonz</a>	0	1	0					228
@angelsvj	<a href="https://twitter.com/angelsvj" target="_blank">angelsvj</a>	19	0	2	563	1317	10851		001
@angeluisbarrera	<a href="https://twitter.com/angeluisbarrera" target="_blank">angeluisbarrera</a>	3	0	1	582	980	8051		072
@Angietro3535	<a href="https://twitter.com/Angietro3535" target="_blank">Angietro3535</a>	16	0	1	575	372	56085	República de Catalunya, UE	001
@anibalmeltor	<a href="https://twitter.com/anibalmeltor" target="_blank">anibalmeltor</a>	5	1	0	1944	1045	71092		224
@aniolg97	<a href="https://twitter.com/aniolg97" target="_blank">aniolg97</a>	1	0	1	191	646	2877	Sabadell	008
@anivega1986	<a href="https://twitter.com/anivega1986" target="_blank">anivega1986</a>	4	0	1	797	1002	40321	Capeside	010
@anna_arque	<a href="https://twitter.com/anna_arque" target="_blank">anna_arque</a>	2	30	0	18782	4990	15541	Lleida-BCN-Països Catalans	013
@anna_canyelles	<a href="https://twitter.com/anna_canyelles" target="_blank">anna_canyelles</a>	5	0	1	197	241	1557		019
@Anna_Moreno_C	<a href="https://twitter.com/Anna_Moreno_C" target="_blank">Anna_Moreno_C</a>	13	0	1	230	962	14104		070
@anna_sanllehy	<a href="https://twitter.com/anna_sanllehy" target="_blank">anna_sanllehy</a>	12	0	2	2697	4995	70657		022
@Anna_Saraa	<a href="https://twitter.com/Anna_Saraa" target="_blank">Anna_Saraa</a>	1	1	0	244	347	1134	Gósol, España	183
@annaalvado	<a href="https://twitter.com/annaalvado" target="_blank">annaalvado</a>	30	0	1	89	179	7454	Barcelona	001
@annabaylach	<a href="https://twitter.com/annabaylach" target="_blank">annabaylach</a>	24	0	1	157	312	13875		001
@AnnabelMarcos	<a href="https://twitter.com/AnnabelMarcos" target="_blank">AnnabelMarcos</a>	5	0	1	2027	1845	9598	Amposta	078
@annabelsalinas	<a href="https://twitter.com/annabelsalinas" target="_blank">annabelsalinas</a>	3	0	1	36	205	321	teià	044
@annacat1973	<a href="https://twitter.com/annacat1973" target="_blank">annacat1973</a>	15	0	1	1477	377	24510	Sant Feliu de Guíxols	001
@AnnaGuixa	<a href="https://twitter.com/AnnaGuixa" target="_blank">AnnaGuixa</a>	1	0	1	690	736	1059	Sant Quirze Safaja - Barcelona	061
@annamariaroca	<a href="https://twitter.com/annamariaroca" target="_blank">annamariaroca</a>	1	0	1	21	63	101		147
@AnnamDuimenez	<a href="https://twitter.com/AnnamDuimenez" target="_blank">AnnamDuimenez</a>	15	0	3	516	790	22496		001
@annapapallona	<a href="https://twitter.com/annapapallona" target="_blank">annapapallona</a>	1	0	1	1970	2054	6010	That depends on the week :-)	001
@annaprzrod	<a href="https://twitter.com/annaprzrod" target="_blank">annaprzrod</a>	3	0	2	212	98	12431	Catalunya	040
@annapurnabcn	<a href="https://twitter.com/annapurnabcn" target="_blank">annapurnabcn</a>	4	0	1	896	812	2335	Barcelona, Espanya	067
@AnnaQS70	<a href="https://twitter.com/AnnaQS70" target="_blank">AnnaQS70</a>	1	0	1	11	47	128	Martorell, España	056
@annasalicru	<a href="https://twitter.com/annasalicru" target="_blank">annasalicru</a>	2	1	0	1140	907	4793	Mataró	181
@annazamar	<a href="https://twitter.com/annazamar" target="_blank">annazamar</a>	2	12	0	581	434	2973	Sort, Catalunya	068
@Anne1367	<a href="https://twitter.com/Anne1367" target="_blank">Anne1367</a>	1	0	1	386	505	20768		029
@anoiadiari	<a href="https://twitter.com/anoiadiari" target="_blank">anoiadiari</a>	1	23	0	6938	1389	29604	Igualada - Anoia	079
@anticapiCat	<a href="https://twitter.com/anticapiCat" target="_blank">anticapiCat</a>	12	1	0	5936	1822	38046	Catalunya	260
@Antifaxismoa	<a href="https://twitter.com/Antifaxismoa" target="_blank">Antifaxismoa</a>	1	2	0	15351	2520	147043	Euskal Herria	120
@anton1924	<a href="https://twitter.com/anton1924" target="_blank">anton1924</a>	4	0	1	9	99	1151		078
@AntoniFerran	<a href="https://twitter.com/AntoniFerran" target="_blank">AntoniFerran</a>	9	0	1	172	244	5526	1-10. Hem votat ! 👋🏻👋🏻👋🏻	002
@antoniferrer48	<a href="https://twitter.com/antoniferrer48" target="_blank">antoniferrer48</a>	19	0	2	75	213	2630	Barcelona, Camprodon	005
@antonio_pinedo	<a href="https://twitter.com/antonio_pinedo" target="_blank">antonio_pinedo</a>	7	0	1	75	115	8953	Barcelona	001
@antonisoy	<a href="https://twitter.com/antonisoy" target="_blank">antonisoy</a>	3	0	1	3485	1235	63646	Catalunya (Estat espanyol)	076
@aquathirteen	<a href="https://twitter.com/aquathirteen" target="_blank">aquathirteen</a>	0	2	0					143
@arabia_ivan	<a href="https://twitter.com/arabia_ivan" target="_blank">arabia_ivan</a>	14	0	1	17	105	1282		009
@aracelipv	<a href="https://twitter.com/aracelipv" target="_blank">aracelipv</a>	10	0	1	65	268	1468	Barcelona	019
@AraDesdara	<a href="https://twitter.com/AraDesdara" target="_blank">AraDesdara</a>	19	0	2	391	2134	7635	Barcelona	023
@araisempreCat	<a href="https://twitter.com/araisempreCat" target="_blank">araisempreCat</a>	5	0	1	689	1340	3077	Catalunya	001
@arakemanuel	<a href="https://twitter.com/arakemanuel" target="_blank">arakemanuel</a>	2	0	1	28	169	1663	Barcelona, Catalunya	009
@Arantxa_Fndz	<a href="https://twitter.com/Arantxa_Fndz" target="_blank">Arantxa_Fndz</a>	0	1	0					139
@Arcadi42	<a href="https://twitter.com/Arcadi42" target="_blank">Arcadi42</a>	9	0	1	13724	1077	20274	Catalunya	001
@Arcadi75	<a href="https://twitter.com/Arcadi75" target="_blank">Arcadi75</a>	3	0	1	91	154	5212		059
@arcos_2014	<a href="https://twitter.com/arcos_2014" target="_blank">arcos_2014</a>	2	0	2	566	681	6203	Vallgorguina,Catalunya	001
@ardatx	<a href="https://twitter.com/ardatx" target="_blank">ardatx</a>	13	0	3	272	570	33547		001
@ariabudu17	<a href="https://twitter.com/ariabudu17" target="_blank">ariabudu17</a>	2	0	1	142	422	1575		019
@AriadnaBuxo	<a href="https://twitter.com/AriadnaBuxo" target="_blank">AriadnaBuxo</a>	1	0	1	4	28	175	Badalona, España	006
@arielmonells	<a href="https://twitter.com/arielmonells" target="_blank">arielmonells</a>	2	0	1	177	355	1889		094
@aritarrago	<a href="https://twitter.com/aritarrago" target="_blank">aritarrago</a>	1	0	1	64	121	1879		082
@ARiuprimer	<a href="https://twitter.com/ARiuprimer" target="_blank">ARiuprimer</a>	1	0	1	318	676	5925	Santa Eulàlia de Riuprimer, Catalunya	059
@armandsimon2002	<a href="https://twitter.com/armandsimon2002" target="_blank">armandsimon2002</a>	5	0	1	482	880	12026		056
@armarioruiz	<a href="https://twitter.com/armarioruiz" target="_blank">armarioruiz</a>	1	0	1	599	653	5848	Barcelona, España	101
@Arnau_de_Freser	<a href="https://twitter.com/Arnau_de_Freser" target="_blank">Arnau_de_Freser</a>	3	1	0	228	192	5131	Catalunya	254
@arnau_gerd	<a href="https://twitter.com/arnau_gerd" target="_blank">arnau_gerd</a>	5	0	1	22	51	1518	mai he aconseguit estar allí	021
@arnaudeivissa	<a href="https://twitter.com/arnaudeivissa" target="_blank">arnaudeivissa</a>	14	0	1	385	204	34585		001
