name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@_annavilar_	<a href="https://twitter.com/_annavilar_" target="_blank">_annavilar_</a>	1	0	1	82	319	4716	Almassora	007
@_CARALLUDO	<a href="https://twitter.com/_CARALLUDO" target="_blank">_CARALLUDO</a>	4	1	0	249	385	6020	GZ	165
@_celia_c	<a href="https://twitter.com/_celia_c" target="_blank">_celia_c</a>	1	0	1	38	75	117		008
@_HeartMusic	<a href="https://twitter.com/_HeartMusic" target="_blank">_HeartMusic</a>	1	0	1	190	196	1693		011
@_JoseManrique	<a href="https://twitter.com/_JoseManrique" target="_blank">_JoseManrique</a>	1	0	1	217	262	13432	Aperture Laboratories	012
@_LostWarrior	<a href="https://twitter.com/_LostWarrior" target="_blank">_LostWarrior</a>	1	0	1	354	452	4879	Euskal Herria	016
@_Mitx_	<a href="https://twitter.com/_Mitx_" target="_blank">_Mitx_</a>	2	0	1	19	72	376	Catalunya	047
@0nixxwiccX	<a href="https://twitter.com/0nixxwiccX" target="_blank">0nixxwiccX</a>	1	0	1	82	54	1344	Una galaxia muy, muy lejana	009
@0sserc	<a href="https://twitter.com/0sserc" target="_blank">0sserc</a>	0	1	0					166
@154kl4	<a href="https://twitter.com/154kl4" target="_blank">154kl4</a>	2	0	1	21	73	549	CATALUNYA	039
@1denmadrid	<a href="https://twitter.com/1denmadrid" target="_blank">1denmadrid</a>	20	0	2	1540	276	394105	Madrid, Colombia	001
@1Recluta_Patoso	<a href="https://twitter.com/1Recluta_Patoso" target="_blank">1Recluta_Patoso</a>	0	5	0					021
@3ea41b4589df425	<a href="https://twitter.com/3ea41b4589df425" target="_blank">3ea41b4589df425</a>	1	0	1	128	911	419	Zizurkil	094
@3voltesrebel	<a href="https://twitter.com/3voltesrebel" target="_blank">3voltesrebel</a>	5	1	0	3093	1740	33930	08173	076
@63_olaussen	<a href="https://twitter.com/63_olaussen" target="_blank">63_olaussen</a>	1	0	1	1639	1780	31038		013
@6uN7CtZuCK66Rpd	<a href="https://twitter.com/6uN7CtZuCK66Rpd" target="_blank">6uN7CtZuCK66Rpd</a>	7	2	0	63	397	568		048
@74ddd74	<a href="https://twitter.com/74ddd74" target="_blank">74ddd74</a>	5	0	1	79	153	4036		005
@952b55bdb0b944d	<a href="https://twitter.com/952b55bdb0b944d" target="_blank">952b55bdb0b944d</a>	9	0	1	5	147	1042	Vila de Gracia, Barcelona	050
@AbejaRacing	<a href="https://twitter.com/AbejaRacing" target="_blank">AbejaRacing</a>	8	0	1	199	656	5811	Península Ibérica	001
@acadainstant	<a href="https://twitter.com/acadainstant" target="_blank">acadainstant</a>	12	0	1	553	1246	22446	catalunya	007
@ActOldiLion	<a href="https://twitter.com/ActOldiLion" target="_blank">ActOldiLion</a>	2	0	1	582	1935	11945	Madrid Sur	129
@AdamJustAdam_	<a href="https://twitter.com/AdamJustAdam_" target="_blank">AdamJustAdam_</a>	0	1	0					138
@ADecroissance	<a href="https://twitter.com/ADecroissance" target="_blank">ADecroissance</a>	1	1	0	5905	1930	30780	local to global	133
@ADF175Esparregu	<a href="https://twitter.com/ADF175Esparregu" target="_blank">ADF175Esparregu</a>	9	0	1	392	331	7353	Esparreguera, Espanya	093
@ADORELOUIIS	<a href="https://twitter.com/ADORELOUIIS" target="_blank">ADORELOUIIS</a>	2	0	1	6460	7033	127195	Barcelona	007
@adria_cm7	<a href="https://twitter.com/adria_cm7" target="_blank">adria_cm7</a>	1	0	1	226	753	4975	Hogwarts	009
@adriacarapa	<a href="https://twitter.com/adriacarapa" target="_blank">adriacarapa</a>	4	0	2	437	3035	2598		127
@adrianrbravo	<a href="https://twitter.com/adrianrbravo" target="_blank">adrianrbravo</a>	1	4	0	1960	1636	46811	Teis, Vigo - Galiza	001
@aeglitos	<a href="https://twitter.com/aeglitos" target="_blank">aeglitos</a>	4	0	1	1056	2298	4273	El carmelo, Barcelona	001
@AgnesMathis	<a href="https://twitter.com/AgnesMathis" target="_blank">AgnesMathis</a>	1	0	1	258	88	1370		001
@ainaleida	<a href="https://twitter.com/ainaleida" target="_blank">ainaleida</a>	1	0	1	13	99	46		001
@aitchbee2000	<a href="https://twitter.com/aitchbee2000" target="_blank">aitchbee2000</a>	3	0	1	1729	3712	19111	Scotland	015
@aitorguti16	<a href="https://twitter.com/aitorguti16" target="_blank">aitorguti16</a>	6	0	1	109	115	3215	Sestao, Euskal Herria	023
@aKollontai	<a href="https://twitter.com/aKollontai" target="_blank">aKollontai</a>	1	1	0	5734	412	3040	Vigo	159
@alain_gp	<a href="https://twitter.com/alain_gp" target="_blank">alain_gp</a>	5	0	1	11	32	2532	Catalunya	008
@Alba_pingcunyi	<a href="https://twitter.com/Alba_pingcunyi" target="_blank">Alba_pingcunyi</a>	3	0	1	41	55	2155		120
@albertAEPDA	<a href="https://twitter.com/albertAEPDA" target="_blank">albertAEPDA</a>	11	1	0	1193	1006	73252		144
@albertcorominas	<a href="https://twitter.com/albertcorominas" target="_blank">albertcorominas</a>	1	0	1	2608	2422	371	Girona, Catalunya	032
@AlbertGarlo	<a href="https://twitter.com/AlbertGarlo" target="_blank">AlbertGarlo</a>	1	0	1	5580	1007	7530	Barcelona	012
@Aleix37061956	<a href="https://twitter.com/Aleix37061956" target="_blank">Aleix37061956</a>	6	0	1	7	214	1288		008
@aleixcj	<a href="https://twitter.com/aleixcj" target="_blank">aleixcj</a>	3	0	1	1968	2155	53517	Lluçanès / Països Catalans	142
@aleixmadrid	<a href="https://twitter.com/aleixmadrid" target="_blank">aleixmadrid</a>	4	0	1	480	330	5591	Santa Coloma de Gramenet	008
@Alejan_Case	<a href="https://twitter.com/Alejan_Case" target="_blank">Alejan_Case</a>	1	0	1	90	76	68	Barcelona, España	006
@Alejand63567115	<a href="https://twitter.com/Alejand63567115" target="_blank">Alejand63567115</a>	20	0	1	47	34	8112		007
@AlertaSolidaria	<a href="https://twitter.com/AlertaSolidaria" target="_blank">AlertaSolidaria</a>	0	1	0					142
@AlexCosete	<a href="https://twitter.com/AlexCosete" target="_blank">AlexCosete</a>	2	0	2	606	530	55808	Madrid / #AlfonLibertad	004
@AlexisMayet	<a href="https://twitter.com/AlexisMayet" target="_blank">AlexisMayet</a>	0	2	0					041
@AlexPartisano	<a href="https://twitter.com/AlexPartisano" target="_blank">AlexPartisano</a>	2	0	1	114	92	16577		156
@AlfredoSierraSa	<a href="https://twitter.com/AlfredoSierraSa" target="_blank">AlfredoSierraSa</a>	1	0	1	8	11	89		007
@AliCologne	<a href="https://twitter.com/AliCologne" target="_blank">AliCologne</a>	0	3	0					031
@Aliiii_jover	<a href="https://twitter.com/Aliiii_jover" target="_blank">Aliiii_jover</a>	1	0	1	337	308	33355	Barcelona	007
@allverd_puchol	<a href="https://twitter.com/allverd_puchol" target="_blank">allverd_puchol</a>	1	0	1	87	231	468	Boca 340	002
@altealfonsocruz	<a href="https://twitter.com/altealfonsocruz" target="_blank">altealfonsocruz</a>	2	0	1	97	115	3085	Villaviciosa de Odón, España	007
@amelamoles	<a href="https://twitter.com/amelamoles" target="_blank">amelamoles</a>	4	0	1	29	50	5026	Manresa	008
@amilenari	<a href="https://twitter.com/amilenari" target="_blank">amilenari</a>	1	0	1	329	146	343		057
@Amuluz	<a href="https://twitter.com/Amuluz" target="_blank">Amuluz</a>	1	0	1	81	240	1403		012
@ana_atome	<a href="https://twitter.com/ana_atome" target="_blank">ana_atome</a>	2	0	1	132	72	1424		134
@ANC_LaRapita	<a href="https://twitter.com/ANC_LaRapita" target="_blank">ANC_LaRapita</a>	1	0	1	778	353	1870	Sant Carles de la Ràpita	054
@ANCBalaguer	<a href="https://twitter.com/ANCBalaguer" target="_blank">ANCBalaguer</a>	0	1	0					116
@andarAYP677	<a href="https://twitter.com/andarAYP677" target="_blank">andarAYP677</a>	1	0	1	29	1333	1210	TommorowLand	003
@Andrea_240513	<a href="https://twitter.com/Andrea_240513" target="_blank">Andrea_240513</a>	1	0	1	563	740	29127		009
@AngelDunka	<a href="https://twitter.com/AngelDunka" target="_blank">AngelDunka</a>	1	0	1	81	428	1075		002
@Angietro3535	<a href="https://twitter.com/Angietro3535" target="_blank">Angietro3535</a>	16	0	1	575	372	56085	República de Catalunya, UE	007
@anglalang	<a href="https://twitter.com/anglalang" target="_blank">anglalang</a>	1	0	1	223	528	2309	cornella	002
@AnimalJes	<a href="https://twitter.com/AnimalJes" target="_blank">AnimalJes</a>	1	0	1	407	42	8653	Praderas de Laputa	001
@anmima30	<a href="https://twitter.com/anmima30" target="_blank">anmima30</a>	2	0	1	13	121	462		001
@AnnaMauricio4	<a href="https://twitter.com/AnnaMauricio4" target="_blank">AnnaMauricio4</a>	3	0	1	176	571	12464	Barcelona	008
@AnovaOurense	<a href="https://twitter.com/AnovaOurense" target="_blank">AnovaOurense</a>	3	1	0	2087	1514	6271	Galiza	108
@Antica25	<a href="https://twitter.com/Antica25" target="_blank">Antica25</a>	1	0	1	207	667	4021	Terra del mig	008
