Source	Target
@1Ogranollers	@Algudeperaqui
@1Ogranollers	@javilp7
@1Ogranollers	@lluistuset
@1Ogranollers	@ogarangou
@7akbatindautxu	@Daaniruiz11
@7akbatindautxu	@DicCeltista
@7akbatindautxu	@epf_90
@7akbatindautxu	@Etxahun16
@7akbatindautxu	@GotxiBilbao
@7akbatindautxu	@IkerSanvi
@7akbatindautxu	@jonanOrbe
@7akbatindautxu	@lorenaaka
@7akbatindautxu	@OpioErrebeldea
@7akbatindautxu	@Txisko
@acorey_cat	@Enric_Velasco
@adeuespanya2017	@Fina_G_G
@aezkiaga	@aempordaigeldo
@aezkiaga	@AgirreMozo
@aezkiaga	@andermgt
@aezkiaga	@arizorreta
@aezkiaga	@BertaFaro1
@aezkiaga	@DiarioFatxo
@aezkiaga	@ehundakaSu
@aezkiaga	@epaepapapa
@aezkiaga	@Erramun2014
@aezkiaga	@EtorManterola
@aezkiaga	@IIkertomao
@aezkiaga	@jeraunzeta
@aezkiaga	@mikel_di
@aezkiaga	@napardipper
@aezkiaga	@Nuria363
@aezkiaga	@oierarzuaga
@aezkiaga	@Pantxoltzo
@aezkiaga	@patxo99
@aezkiaga	@RSFanonymous
@aezkiaga	@Txoldoko
@aezkiaga	@UnaiGalatasRoda
@aezkiaga	@urresta2
@aezkiaga	@Urru89
@aezkiaga	@xabiber
@aezkiaga	@zortzikotxikia
@AgalloCat	@petrusin
@AJVallvidrera	@AJVallvidrera
@AlbaBalcells	@alba_mbt
@AlbaBalcells	@jm_cabases
@AlbaBalcells	@nuriafontreulli
@AlbaBalcells	@TomeuTimor
@AlbaMetge	@EVIXD
@albert_dmcat	@3a_tsp
@albert_dmcat	@baphomed75
@albert_dmcat	@BelGalera
@albert_dmcat	@CanalJoan
@albert_dmcat	@canariion
@albert_dmcat	@CaputxetaIndy
@albert_dmcat	@cdm1950
@albert_dmcat	@CharlieFox1714
@albert_dmcat	@cristinaisanta
@albert_dmcat	@domenech_lluis
@albert_dmcat	@eduardgalceran
@albert_dmcat	@encarnita111
@albert_dmcat	@francesc130
@albert_dmcat	@ideafix5
@albert_dmcat	@juliangrau
