Source	Target
@_mar11_	@DjAbel15
@_Maria_Dantas_	@llunavermella
@_pmarkes	@DaliEnfurismada
@_pmarkes	@nuarmo
@_pmarkes	@Pointluck1
@_pmarkes	@Ru_Pla
@_psike	@pablangosto
@08840v	@myriammoysset
@Abelletaindepe	@MareDeDracs
@adriaaubert	@carmecanet
@adriaaubert	@ForsLluis
@aidyl62	@mrtoskis
@albert_ciurana	@BaltaCarme
@albertAEPDA	@pablangosto
@albertpedret	@cataladelsud
@alex_carrasco_	@jesica_rando
@alexdelmas10	@CarlosO08389596
@AlfonsCarmona	@crematsdrom
@AlfonsCarmona	@joanjunca
@AlfonsCarmona	@laiapardo
@AlfonsCarmona	@Pointluck1
@alugris	@carloscallon
@alugris	@CerdeiraAngel
@AmaiaArmiArma	@Kasalet
@Amidala666	@Nemesis_XIII
@amirabal10	@ReusJNC
@ANC_Manlleu	@AssembleaOsona
@ANC_Manlleu	@eltorrat1
@ANC_Manlleu	@EsquerraManlleu
@ANC_Manlleu	@eudaldsellares
@ANC_Manlleu	@gerardvallejo
@ANC_Manlleu	@marta_gib
@ANC_Manlleu	@mesmanlleu
@ANC_Manlleu	@PDeCATManlleu
@anc_polska	@adriaxj8
@anc_polska	@politicstw
@ANCDones	@MiquelCilleros
@anclescala	@XeviTarga
@ANCNouBarris	@jusperales
@ANCNouBarris	@niskas
@ANCtorredembarr	@anna_magrinya
@angelsmcastells	@Aixoplug
@angelsmcastells	@Albert94181620
@angelsmcastells	@AlejandroJovan
@angelsmcastells	@AntoniFerrer2
@angelsmcastells	@badalonien
@angelsmcastells	@BartSanchezP
@angelsmcastells	@BernadFelip
@angelsmcastells	@bicibona
@angelsmcastells	@blau_fosc
@angelsmcastells	@CarlesGuinart
@angelsmcastells	@davidialba
@angelsmcastells	@desferr
@angelsmcastells	@eduardfm9
@angelsmcastells	@FelixPlayan
@angelsmcastells	@FerranRodes
@angelsmcastells	@guifre2053
@angelsmcastells	@joanjunca
@angelsmcastells	@jordimarcar
@angelsmcastells	@JordiVilasecaRo
@angelsmcastells	@jorsanmrq
@angelsmcastells	@josep_munne
@angelsmcastells	@Juanjotl68
@angelsmcastells	@julioservan
@angelsmcastells	@kalamontse
@angelsmcastells	@KikeFuentesA
@angelsmcastells	@LluisMarco1
@angelsmcastells	@marcgr36
@angelsmcastells	@MarcosHCrespo
@angelsmcastells	@MarcVall46
@angelsmcastells	@martijasanada
@angelsmcastells	@Mobilisinmobil1
@angelsmcastells	@nuriasaja
@angelsmcastells	@nurigiol
@angelsmcastells	@oscarjxsbd
@angelsmcastells	@PereWoolf
@angelsmcastells	@porabajo
@angelsmcastells	@retuvi
@angelsmcastells	@roser_rdguez
@angelsmcastells	@smallmonkeyb
@angelsmcastells	@talbts
@angelsmcastells	@verdglauc
@angelsmcastells	@vmestres
