name	link	tuits	retuits	rteados	followers	following	status	location	Walktrap
@__khaleesi__23	<a href="https://twitter.com/__khaleesi__23" target="_blank">__khaleesi__23</a>	3	0	1	393	975	8613	Minas Tirith	001
@_AnnaPetit_	<a href="https://twitter.com/_AnnaPetit_" target="_blank">_AnnaPetit_</a>	0	2	0					241
@_DarwinPZ	<a href="https://twitter.com/_DarwinPZ" target="_blank">_DarwinPZ</a>	26	0	1	3958	298	126359	🇨🇴	009
@_Eu_M	<a href="https://twitter.com/_Eu_M" target="_blank">_Eu_M</a>	1	0	1	27	125	2982	A Coruña	015
@_isra23	<a href="https://twitter.com/_isra23" target="_blank">_isra23</a>	2	0	1	101	219	5121	Barcelona, Catalunya	009
@_Jimmy_Bravo_	<a href="https://twitter.com/_Jimmy_Bravo_" target="_blank">_Jimmy_Bravo_</a>	1	0	1	515	808	1612	Vila del Pingüí, Sabadell	070
@_MiracleDrug_	<a href="https://twitter.com/_MiracleDrug_" target="_blank">_MiracleDrug_</a>	3	0	1	204	362	10245	Palau	004
@_morerap	<a href="https://twitter.com/_morerap" target="_blank">_morerap</a>	1	4	0	349	148	869	Barcelona	184
@_NB10_	<a href="https://twitter.com/_NB10_" target="_blank">_NB10_</a>	1	0	1	216	574	4128	Artesa de Segre	009
@_Nits	<a href="https://twitter.com/_Nits" target="_blank">_Nits</a>	4	0	1	31	120	702	Catalunya	342
@_OscarBenitez_	<a href="https://twitter.com/_OscarBenitez_" target="_blank">_OscarBenitez_</a>	1	0	1	239	560	1606	De hospital en hospital	015
@_pepe84	<a href="https://twitter.com/_pepe84" target="_blank">_pepe84</a>	2	0	1	481	713	6565	Barcelona	038
@_peprius	<a href="https://twitter.com/_peprius" target="_blank">_peprius</a>	1	0	1	79	227	776	Barcelona. Catalunya	027
@_Romi_14	<a href="https://twitter.com/_Romi_14" target="_blank">_Romi_14</a>	1	0	1	106	268	2204	Lleida. Catalunya	009
@_Rosamary_	<a href="https://twitter.com/_Rosamary_" target="_blank">_Rosamary_</a>	18	0	3	3374	3034	130740	Catalunya	031
@_s40j	<a href="https://twitter.com/_s40j" target="_blank">_s40j</a>	2	0	1	524	468	5011	Barcelona, Catalunya	017
@_SaraMD_	<a href="https://twitter.com/_SaraMD_" target="_blank">_SaraMD_</a>	1	0	1	5	110	106	Manresa, Catalunya	027
@_wise_soul_	<a href="https://twitter.com/_wise_soul_" target="_blank">_wise_soul_</a>	2	0	1	126	150	2388		017
@_xarlse	<a href="https://twitter.com/_xarlse" target="_blank">_xarlse</a>	15	0	1	139	195	7002	Tarragona, Catalunya.	003
@007JORDI13	<a href="https://twitter.com/007JORDI13" target="_blank">007JORDI13</a>	5	0	2	1045	1588	2568	Catalunya	020
@0Miquel	<a href="https://twitter.com/0Miquel" target="_blank">0Miquel</a>	8	0	1	92	299	3844		225
@0Seuba	<a href="https://twitter.com/0Seuba" target="_blank">0Seuba</a>	31	0	3	664	1159	13762	Avià-Bcn, Catalunya	003
@101ECV_GADGET	<a href="https://twitter.com/101ECV_GADGET" target="_blank">101ECV_GADGET</a>	8	0	1	151	46	13716	Planet Earth, Solar System.	009
@1139dani	<a href="https://twitter.com/1139dani" target="_blank">1139dani</a>	15	0	1	311	718	8556	Parets del Valles,Catalunya	070
@1197434	<a href="https://twitter.com/1197434" target="_blank">1197434</a>	18	0	3	57	242	2434		052
@11s2014	<a href="https://twitter.com/11s2014" target="_blank">11s2014</a>	8	0	1	1506	2051	23723	Mataró, Catalunya	004
@123blau	<a href="https://twitter.com/123blau" target="_blank">123blau</a>	1	0	1	8	68	1431		153
@13_arnau	<a href="https://twitter.com/13_arnau" target="_blank">13_arnau</a>	1	0	1	66	391	2372	Lloret de Mar (Catalunya)	030
@13EricLuna	<a href="https://twitter.com/13EricLuna" target="_blank">13EricLuna</a>	1	1	1	83	167	2313	Catalunya - Minnesota	252
@14raul1991	<a href="https://twitter.com/14raul1991" target="_blank">14raul1991</a>	0	1	0					547
@15928768A	<a href="https://twitter.com/15928768A" target="_blank">15928768A</a>	5	0	4	207	421	14304	Hau bizi poza!!!!	035
@1714Drac1714	<a href="https://twitter.com/1714Drac1714" target="_blank">1714Drac1714</a>	21	0	1	516	288	52974	Catalunya.	031
@17jordani	<a href="https://twitter.com/17jordani" target="_blank">17jordani</a>	3	0	1	25404	13471	237562		118
@1909_RSF	<a href="https://twitter.com/1909_RSF" target="_blank">1909_RSF</a>	2	1	0	787	872	5938	Euskal Herria Askatu!	531
@1971TONIMORA	<a href="https://twitter.com/1971TONIMORA" target="_blank">1971TONIMORA</a>	2	1	0	2586	3222	16129		496
@1977eloisa	<a href="https://twitter.com/1977eloisa" target="_blank">1977eloisa</a>	1	0	1	8	25	214		009
@1denmadrid	<a href="https://twitter.com/1denmadrid" target="_blank">1denmadrid</a>	20	0	1	1540	276	394105	Madrid, Colombia	029
@1JBoix	<a href="https://twitter.com/1JBoix" target="_blank">1JBoix</a>	3	0	1	41	212	2350		003
@2005sjusi	<a href="https://twitter.com/2005sjusi" target="_blank">2005sjusi</a>	26	0	1	805	790	51238	Costa Daurada	001
@2014Marti	<a href="https://twitter.com/2014Marti" target="_blank">2014Marti</a>	1	0	1	41	206	677	Mataró, Catalunya	009
@247ltd	<a href="https://twitter.com/247ltd" target="_blank">247ltd</a>	1	0	1	4078	3780	37175	Hong Kong	009
@27_antu	<a href="https://twitter.com/27_antu" target="_blank">27_antu</a>	4	0	1	23	112	2286	Polònia	017
@2Marke	<a href="https://twitter.com/2Marke" target="_blank">2Marke</a>	5	0	1	157	419	4034		095
@2nosaltres2	<a href="https://twitter.com/2nosaltres2" target="_blank">2nosaltres2</a>	21	0	3	697	1083	20232		022
@32Behan	<a href="https://twitter.com/32Behan" target="_blank">32Behan</a>	17	0	2	426	618	16607	de vacances ovidianes	083
@3Republicaviva	<a href="https://twitter.com/3Republicaviva" target="_blank">3Republicaviva</a>	11	0	2	2254	3813	57407		118
@3voltesrebel	<a href="https://twitter.com/3voltesrebel" target="_blank">3voltesrebel</a>	5	0	1	3093	1740	33930	08173	483
@4_ferran	<a href="https://twitter.com/4_ferran" target="_blank">4_ferran</a>	10	1	1	193	283	5146		548
@45c32378c34f499	<a href="https://twitter.com/45c32378c34f499" target="_blank">45c32378c34f499</a>	22	0	2	540	629	80217		001
@47rogersv	<a href="https://twitter.com/47rogersv" target="_blank">47rogersv</a>	1	0	1	303	220	1264		220
@4df9fb59d70745e	<a href="https://twitter.com/4df9fb59d70745e" target="_blank">4df9fb59d70745e</a>	1	0	1	40	164	156	Ronda	003
@4mesungats	<a href="https://twitter.com/4mesungats" target="_blank">4mesungats</a>	11	0	1	195	219	17693	Barcelona, Catalunya	330
@4Tarres	<a href="https://twitter.com/4Tarres" target="_blank">4Tarres</a>	2	0	1	12	113	559		042
@60Sanpedro	<a href="https://twitter.com/60Sanpedro" target="_blank">60Sanpedro</a>	1	0	1	267	184	19228		137
@62jazo	<a href="https://twitter.com/62jazo" target="_blank">62jazo</a>	1	0	1	7	21	69		219
@67_josep	<a href="https://twitter.com/67_josep" target="_blank">67_josep</a>	5	0	1	123	234	15856	Santpedor	031
@691_14	<a href="https://twitter.com/691_14" target="_blank">691_14</a>	1	0	1	0	58	31		217
@6uN7CtZuCK66Rpd	<a href="https://twitter.com/6uN7CtZuCK66Rpd" target="_blank">6uN7CtZuCK66Rpd</a>	7	7	0	63	397	568		046
@70diazcat	<a href="https://twitter.com/70diazcat" target="_blank">70diazcat</a>	15	0	1	82	239	7375		006
@76Yas	<a href="https://twitter.com/76Yas" target="_blank">76Yas</a>	5	0	1	38	95	1376		017
@7ac15a5e25ff460	<a href="https://twitter.com/7ac15a5e25ff460" target="_blank">7ac15a5e25ff460</a>	1	0	1	14	34	97		017
@7daigua	<a href="https://twitter.com/7daigua" target="_blank">7daigua</a>	11	0	1	75	316	2750		019
@7reginal11	<a href="https://twitter.com/7reginal11" target="_blank">7reginal11</a>	4	0	1	165	465	21320	barcelona ||*||	016
@8AaRoN6	<a href="https://twitter.com/8AaRoN6" target="_blank">8AaRoN6</a>	12	0	2	547	645	23054	BcN, CaTaLuNYa	022
@8NURIA	<a href="https://twitter.com/8NURIA" target="_blank">8NURIA</a>	7	1	0	130	686	2846	Salt, Girona, Costa Brava	519
@8passenger	<a href="https://twitter.com/8passenger" target="_blank">8passenger</a>	7	0	1	341	556	28907	Berlin	024
@92Esthergarcia	<a href="https://twitter.com/92Esthergarcia" target="_blank">92Esthergarcia</a>	5	0	1	34	147	3251		003
@98Florensa	<a href="https://twitter.com/98Florensa" target="_blank">98Florensa</a>	1	0	1	74	281	556	Sant Esteve d'en Bas	030
@9davidgrau	<a href="https://twitter.com/9davidgrau" target="_blank">9davidgrau</a>	2	1	0	653	843	8626	CATALUNYA	503
@9jrib9	<a href="https://twitter.com/9jrib9" target="_blank">9jrib9</a>	90	0	4	3402	3954	192205	Barcelona	009
@A_S_e_r_r_a_n_o	<a href="https://twitter.com/A_S_e_r_r_a_n_o" target="_blank">A_S_e_r_r_a_n_o</a>	3	1	0	191	243	836	Castelldefels	495
@a2g82	<a href="https://twitter.com/a2g82" target="_blank">a2g82</a>	0	1	0					115
@A3Noticias	<a href="https://twitter.com/A3Noticias" target="_blank">A3Noticias</a>	0	4	0					182
@aabellam	<a href="https://twitter.com/aabellam" target="_blank">aabellam</a>	13	0	1	91	249	1116	Barcelona	433
@AAdrubau	<a href="https://twitter.com/AAdrubau" target="_blank">AAdrubau</a>	1	0	1	15	20	50		009
@aalonsopinheiro	<a href="https://twitter.com/aalonsopinheiro" target="_blank">aalonsopinheiro</a>	1	0	1	271	550	1498		032
@aalujas	<a href="https://twitter.com/aalujas" target="_blank">aalujas</a>	1	0	1	6	226	100		017
@aandueza_	<a href="https://twitter.com/aandueza_" target="_blank">aandueza_</a>	3	0	1	131	110	1987	Pamplona	172
@aanglad2	<a href="https://twitter.com/aanglad2" target="_blank">aanglad2</a>	3	0	1	150	138	924	Cardedeu, Espanya	009
@AArnandis	<a href="https://twitter.com/AArnandis" target="_blank">AArnandis</a>	0	4	0					186
@abague60	<a href="https://twitter.com/abague60" target="_blank">abague60</a>	9	0	2	707	795	66728		001
@ABalagu	<a href="https://twitter.com/ABalagu" target="_blank">ABalagu</a>	17	6	0	4646	4899	101124		166
@AbbayePuig	<a href="https://twitter.com/AbbayePuig" target="_blank">AbbayePuig</a>	29	0	5	1162	1684	76474	Catalunya	009
@abejasasesinas	<a href="https://twitter.com/abejasasesinas" target="_blank">abejasasesinas</a>	2	0	1	136	26	2082	Catalunya	009
@abellaviva	<a href="https://twitter.com/abellaviva" target="_blank">abellaviva</a>	3	0	1	185	627	3063	Barcelona	009
@AbelSmiler	<a href="https://twitter.com/AbelSmiler" target="_blank">AbelSmiler</a>	2	12	0	3230	172	107427		114
@aboreal_ag	<a href="https://twitter.com/aboreal_ag" target="_blank">aboreal_ag</a>	6	0	1	8	180	721		015
@abrahamperezn	<a href="https://twitter.com/abrahamperezn" target="_blank">abrahamperezn</a>	3	3	0	380	509	5056	Països Catalans	192
@abrahamrial	<a href="https://twitter.com/abrahamrial" target="_blank">abrahamrial</a>	0	1	0					044
@AbriendoBrecha6	<a href="https://twitter.com/AbriendoBrecha6" target="_blank">AbriendoBrecha6</a>	9	0	3	2890	4991	41666	En Barricadas Afilando Hachas	004
@abrilseg	<a href="https://twitter.com/abrilseg" target="_blank">abrilseg</a>	4	0	1	1481	1627	20604	Barcelona-Catalunya	105
@acadainstant	<a href="https://twitter.com/acadainstant" target="_blank">acadainstant</a>	12	0	1	553	1246	22446	catalunya	104
@acampadajove	<a href="https://twitter.com/acampadajove" target="_blank">acampadajove</a>	0	7	0					152
@acarabasa	<a href="https://twitter.com/acarabasa" target="_blank">acarabasa</a>	2	0	1	138	261	740	Bellpuig (Lleida - Catalunya)	009
@acbrabbits	<a href="https://twitter.com/acbrabbits" target="_blank">acbrabbits</a>	1	0	1	11	50	236		320
@acid_folclorick	<a href="https://twitter.com/acid_folclorick" target="_blank">acid_folclorick</a>	1	0	1	21	125	175		265
@AciD_MuSh_303	<a href="https://twitter.com/AciD_MuSh_303" target="_blank">AciD_MuSh_303</a>	26	0	1	27	353	2618	Països Catalans	006
@ACM948	<a href="https://twitter.com/ACM948" target="_blank">ACM948</a>	0	1	0					009
@acobasi	<a href="https://twitter.com/acobasi" target="_blank">acobasi</a>	1	0	1	3801	4998	225865	Camden, New Jersey, United States of America	009
@acollnogue	<a href="https://twitter.com/acollnogue" target="_blank">acollnogue</a>	2	0	1	15	52	40		009
@ACP3010	<a href="https://twitter.com/ACP3010" target="_blank">ACP3010</a>	76	0	3	19	36	794		031
