Source	Target
@_BATXURI_	@rfernandezjou
@_Sergiozuares	@jtpuerto
@08840v	@albertduran75
@08840v	@Enric_1969
@08840v	@freed4Catalonia
@08840v	@Kaffird
@08840v	@mallagro
@08840v	@MireiaComasVia
@08840v	@Nest_indy
@08840v	@Petite1985
@6uN7CtZuCK66Rpd	@IsThisAB0t
@aaltafaj	@errjey
@aaltafaj	@margapayola
@ABalagu	@DFPValls
@ABalagu	@EnricBCNcat
@ABalagu	@joan_abs
@ABalagu	@martetamataro
@ABalagu	@pedrogarciaflo3
@adeuespanya2017	@IgnasiGrosAuber
@adretuab	@fballus
@aezkiaga	@A2AoA
@agustiargimon	@JosepLDomenech
@agustiargimon	@manelmr70
@agustiargimon	@NoEmFacisRiure
@AhotsaInfo	@AritzHuarte
@AhotsaInfo	@bilbotronik
@AhotsaInfo	@bilduman90
@AhotsaInfo	@Dew231973
@AhotsaInfo	@ErnestPinsap
@AhotsaInfo	@Erramun2014
@AhotsaInfo	@goraosasuna1987
@AhotsaInfo	@Govipu
@AhotsaInfo	@Jagobafafo
@AhotsaInfo	@JosGranaC9
@AhotsaInfo	@juancarlosmohr
@AhotsaInfo	@piratajonkar
@aidaurgell	@nosepas
@aina_jorba	@crackdel2012
@aiolga	@ref_2017
@AJGuissona	@LopezCanero
@albafk	@AnnaMendezM
@albamoraroca	@emotjer
@albamoraroca	@practiquem
@albamoraroca	@Satur11
@albamoraroca	@XaviFranquet
@albert_dmcat	@abarcelo91
@albert_dmcat	@acaballep
@albert_dmcat	@airmosso
@albert_dmcat	@Algarsal65
@albert_dmcat	@asiandafrica
@albert_dmcat	@barcaboca10
@albert_dmcat	@CaputxetaIndy
@albert_dmcat	@CATJRD
@albert_dmcat	@CharlieFox1714
@albert_dmcat	@dnicatala
@albert_dmcat	@EnricVilanova3
@albert_dmcat	@ficcion2011
@albert_dmcat	@francesc112233
@albert_dmcat	@Gay_Luss4c
@albert_dmcat	@guifre2053
@albert_dmcat	@kenllura_vallsm
@albert_dmcat	@marccuat
@albert_dmcat	@montsembordonau
@albert_dmcat	@rogervadejocs
@albert_dmcat	@rosa_msust
@albert_dmcat	@Skulld88
@albertbatalla	@anna_llaurado
@albertbatalla	@BioMaresme
@albertbatalla	@CanalAjuntament
@albertbatalla	@capdepremsa
@albertbatalla	@carles_cs
@albertbatalla	@immav14
@albertbatalla	@jomateix50
@albertbatalla	@MercePicart
@albertbatalla	@pensandova
@albertbatalla	@SantiagoBotonet
@albertbatalla	@twimabel
@AlbertCAT2017	@Migueln47492864
@albertfdezp	@Quisso2
@AlbertLloreta	@chacueco
@AlbertLloreta	@DianaHD
@AlbertLloreta	@DidacKhotso
@AlbertLloreta	@Josep_Trigo
@AlbertLloreta	@Maribel_TM
@AlbertLloreta	@PatrickVedel
@albertolive	@9jrib9
@albertolive	@cervera_jess
@albertolive	@freed4Catalonia
@albertolive	@JordanLna
@albertolive	@Junot1807
@albertpedret	@lucam_68
@albertpedret	@noemi_borras
@aleix_miol	@Nazgulcoc
@aleix_miol	@RocKcs
@aleix_miol	@vega_vila
@aleix_miol	@volemmambodui
@alex_carrasco_	@anaoromi
@AlexCastell74	@bertupuigvertf1
@alexdetiana	@alainjefe77
@alexdoro98	@Govipu
@alexdoro98	@voyager66doro
@alexsastre83	@SusanaGimenezPa
@AlexTreIz	@ANAISquintana
@AlfonsCanela	@PDeCATMataro
@AlfonsCanela	@SerraEdu
@AlfonsCarmona	@11s2014
@AlfonsCarmona	@9jrib9
@AlfonsCarmona	@estebanirvana
@AlfonsCarmona	@NathanAlbes
@AlfonsCarmona	@zoughbiff
@alfonsrm	@ToniVerges
@almotuit	@JOSESANCHEZGAR2
@Alxcuesta	@antonicaballero
@AmaiaArmiArma	@NoMesXoris
@AmaiaArmiArma	@Pellufer
@AmaiaArmiArma	@quicosabater
@amargant_olga	@fcarles58
@amargant_olga	@RTapiasCors
@ametller_maria	@anamartinezd
@ametller_maria	@JuanolaRafel
@AmicsiAmiguesEH	@EndikaMontes
@AmicsiAmiguesEH	@ErnestPinsap
@aminahekmet	@davidminoves
@aminahekmet	@GerardCunill
@aminahekmet	@joanpaurue
@aminahekmet	@marcotovarich
@aminahekmet	@perezlozano
@aminahekmet	@SilviaT78
@aminahekmet	@sucreblau
@aminahekmet	@super_oxigenat
@anahisauri	@Salberqu
@anbasala	@ECastell9
@anbasala	@Jesus83075610
@anbasala	@Surutillo
@ANC_BCN_SSG	@AAixurach
@ANC_BCN_SSG	@AngelsVilaSoler
@ANC_BCN_SSG	@AntoniRK1956
@ANC_BCN_SSG	@casaxus
@ANC_BCN_SSG	@Soletveig
@ANC_Bombers	@an_gelonch
@ANC_Bombers	@AngeldeMS
@ANC_Bombers	@bombersfigueres
@ANC_Bombers	@Butinyo
@ANC_Bombers	@CarladelCampo13
@ANC_Bombers	@CharlieFox1714
@ANC_Bombers	@Clio_deries
@ANC_Bombers	@dcaritgg
@ANC_Bombers	@EBPidesign
@ANC_Bombers	@GarroTejero
@ANC_Bombers	@ginovartclara
@ANC_Bombers	@Jesus83075610
@ANC_Bombers	@Kellliure
@ANC_Bombers	@marc_morera
@ANC_Bombers	@MarkVia_
@ANC_Bombers	@mateuparera
@ANC_Bombers	@Millavepater
@ANC_Bombers	@monsamga
@ANC_Bombers	@OscarCat1976
@ANC_Bombers	@RaMOn50544972
@ANC_Bombers	@Ribas78
@ANC_Bombers	@roge_bcn
@ANC_Bombers	@Votar32456286
@anc_polska	@CarullaDaniel
@ANCaldesmontbui	@josepgallart
@ANCNouBarris	@ERC9B
@ANCNouBarris	@francescllamas
@ANCNouBarris	@Schweickart
@ANCPalamos	@GasullBJoan
@ANCPalamos	@GloriaMassague
@ANCtorredembarr	@CUPTorre
@ANCXile	@LauraOreig
@andreu_monzo	@Alertes1O
@andreu_monzo	@anaoromi
@andreu_monzo	@izovi
@andreu_monzo	@pepll51
@andreu_monzo	@Well086
@Andreueste	@anticapiCat
@Andreueste	@brouiprou
@Andreueste	@EnverAzMe
@Andreueste	@ErnestPinsap
@Andreueste	@giner_joan
@Andreueste	@maria_9barris
@angelsmcastells	@11Xic
@angelsmcastells	@1977rarra
@angelsmcastells	@A_Mesto
@angelsmcastells	@Adelita49455610
@angelsmcastells	@AgataBuxade
@angelsmcastells	@albaparareda
@angelsmcastells	@albertsala3
@angelsmcastells	@anastasifan
@angelsmcastells	@andreadunu
@angelsmcastells	@andreualio
@angelsmcastells	@angelfontcatal1
@angelsmcastells	@anunjimm
@angelsmcastells	@aranbara
@angelsmcastells	@ArnauGuix
@angelsmcastells	@BelZaballa
@angelsmcastells	@BilombaJFT
@angelsmcastells	@binga_cat
@angelsmcastells	@BlackSpartak
@angelsmcastells	@blaucat
@angelsmcastells	@BoiSentis
@angelsmcastells	@bou_ricard
@angelsmcastells	@CalaJu_lia
@angelsmcastells	@Call_Bures
@angelsmcastells	@CapitaCuc
@angelsmcastells	@carlescat1
@angelsmcastells	@carlesserra3
@angelsmcastells	@carlesvilanova
@angelsmcastells	@carlosraya_raya
@angelsmcastells	@CarmeBusquets
@angelsmcastells	@CasajuanaM
@angelsmcastells	@casaxus
@angelsmcastells	@cataladelsud
@angelsmcastells	@CGT_UPC
@angelsmcastells	@chabyerr
@angelsmcastells	@claraferrer90
@angelsmcastells	@ClaraMerc
@angelsmcastells	@ComellasRamon
@angelsmcastells	@CorronsHeim
@angelsmcastells	@CridaCornella
@angelsmcastells	@cristina16ch
@angelsmcastells	@cristinavalles
@angelsmcastells	@danadananka
@angelsmcastells	@danielinog
@angelsmcastells	@DanoFaciaben
@angelsmcastells	@davevall
@angelsmcastells	@DavidAguilar_M
@angelsmcastells	@DavidPelegri
@angelsmcastells	@davidpich
@angelsmcastells	@dribo4
@angelsmcastells	@EA2CXK
@angelsmcastells	@EFelip
@angelsmcastells	@El_Ekilibrio
@angelsmcastells	@elcalderer
@angelsmcastells	@ElisendaMorera
@angelsmcastells	@elmarcmartinez
@angelsmcastells	@ElsokeBarricada
@angelsmcastells	@Enfocant
@angelsmcastells	@EPascualLagunas
@angelsmcastells	@esbarzer_roig
@angelsmcastells	@escompani
@angelsmcastells	@EspinetRicard
@angelsmcastells	@estevemaruri
@angelsmcastells	@Farranapetita
@angelsmcastells	@fballus
@angelsmcastells	@FerranFerran1
@angelsmcastells	@flcarlesD
@angelsmcastells	@FlorenzaXavier
@angelsmcastells	@FlyingS14652197
@angelsmcastells	@ganyet
@angelsmcastells	@gemma_mv97
@angelsmcastells	@GeneralMorague2
@angelsmcastells	@gilpuig_
@angelsmcastells	@Ginju3
@angelsmcastells	@GironesX
@angelsmcastells	@gkmtape
@angelsmcastells	@guellsabata
@angelsmcastells	@Guidda25
@angelsmcastells	@hcabezas2011
@angelsmcastells	@hperxi
@angelsmcastells	@iagofolguera
@angelsmcastells	@Ictineo
@angelsmcastells	@idaeidea
@angelsmcastells	@iDrOj_BcN
@angelsmcastells	@imasm
@angelsmcastells	@immapetit
@angelsmcastells	@Inachis_9
@angelsmcastells	@IntoMari
@angelsmcastells	@iolandagustina
@angelsmcastells	@Isaagma
@angelsmcastells	@jaumemassons
@angelsmcastells	@Jenn_hypatia
@angelsmcastells	@jhabas13
@angelsmcastells	@joan_abs
@angelsmcastells	@joanravi
@angelsmcastells	@joanvendrellg
@angelsmcastells	@JoelJoanJuve
@angelsmcastells	@jofrenin
@angelsmcastells	@Jordi278
@angelsmcastells	@jordiCat1
@angelsmcastells	@jordimartifont_
@angelsmcastells	@JordinaEM
@angelsmcastells	@JordiPotaroig
@angelsmcastells	@JordiVanderwaal
@angelsmcastells	@JosepAlonso67
@angelsmcastells	@JosepCatt
@angelsmcastells	@josepmuntpros
@angelsmcastells	@joseppique
@angelsmcastells	@jota_tepe
@angelsmcastells	@jtortosc
@angelsmcastells	@JuaneloTurriano
@angelsmcastells	@julidejdarmuoz
@angelsmcastells	@Julymon35
@angelsmcastells	@jwatermelono
@angelsmcastells	@Kellliure
